arm,window_size,J,p_err
guess_propagation,1,0.013381923361598994,1.134719537428616
guess_propagation,2,0.013595355976928195,0.3966624706692754
guess_propagation,5,0.013159825423362245,0.15628993353677376
guess_propagation,10,0.010553258888094197,0.18510329055275182
guess_propagation,25,0.009914124875477208,0.24143658339740437
guess_propagation,50,0.00977412699351189,0.27171934366191547
guess_propagation,100,0.009600989368772779,0.2835212558195601
no_propagation,1,0.013381923361598994,1.134719537428616
no_propagation,2,0.01607552883998626,1.0867575644525058
no_propagation,5,0.046941787994990415,1.8764781565188882
no_propagation,10,1000.0,1.5679084473666687
no_propagation,25,1000.0,1.5679084473666687
no_propagation,50,1000.0,1.5679084473666687
no_propagation,100,1000.0,1.5679084473666687
