shard 8/12: 33 of 394 jobs
[8] 1/33 main/propagate/seed1 done, 4.0 s
[8] 2/33 main/best/seed5 done, 34.0 s
[8] 3/33 penalty/propagate_graded/seed1 done, 64.0 s
[8] 4/33 penalty/reset_graded/seed5 done, 93.0 s
[8] 5/33 optimizer/bfgs_reset/seed1 done, 95.0 s
[8] 6/33 optimizer/lbfgs_propagate/seed5 done, 895.0 s
[8] 7/33 iters/it5000/seed1 done, 895.0 s
[8] 8/33 noise/reset/seed3 done, 908.0 s
[8] 9/33 noise/reset/seed3 done, 922.0 s
[8] 10/33 noise/reset/seed3 done, 935.0 s
[8] 11/33 noise/reset/seed3 done, 948.0 s
[8] 12/33 noise/reset/seed3 done, 962.0 s
[8] 13/33 noise/reset/seed3 done, 973.0 s
[8] 14/33 sparsity/propagate/seed3 done, 986.0 s
[8] 15/33 sparsity/propagate/seed3 done, 1000.0 s
[8] 16/33 sparsity/propagate/seed3 done, 1013.0 s
[8] 17/33 substeps/S2/seed1 done, 1013.0 s
[8] 18/33 substeps/S20/seed1 done, 1013.0 s
[8] 19/33 iters/it1000/seed1 done, 1013.0 s
[8] 20/33 iters/it500/seed1 done, 1013.0 s
[8] 21/33 basin/k1/seed9 done, 1015.0 s
[8] 22/33 basin/k1/seed1 done, 1017.0 s
[8] 23/33 basin/k1/seed3 done, 1018.0 s
[8] 24/33 basin/k1/seed5 done, 1020.0 s
[8] 25/33 basin/k5/seed7 done, 1022.0 s
[8] 26/33 basin/k5/seed9 done, 1024.0 s
[8] 27/33 basin/k5/seed1 done, 1026.0 s
[8] 28/33 basin/k5/seed3 done, 1028.0 s
[8] 29/33 basin/k100/seed5 done, 1030.0 s
[8] 30/33 basin/k100/seed7 done, 1032.0 s
[8] 31/33 basin/k100/seed9 done, 1034.0 s
[8] 32/33 basin/k100/seed1 done, 1036.0 s
[8] 33/33 iters/it250/seed3 done, 1037.0 s
shard 8 done in 1037.0 s
