window_size,J_wrong,J_true
1,0.012513077639194434,0.01005765581713613
2,0.017055506248865766,0.013242040382496986
3,0.0196411918976056,0.014149706204181402
4,0.021042745061560928,0.011071861147002884
5,0.018841187681623427,0.013221988260868203
6,0.14904596637064482,0.09597137244612787
8,0.0860669978937511,0.015288626823060198
10,0.01395724558580713,0.007760209799098699
12,0.07879356249256751,0.05299969397571691
15,0.06885334682270706,0.01457420422761856
20,0.29107517869571453,0.011736373287913347
25,0.3268678568211529,0.013026746235177996
33,0.5140911652565577,0.01507731574499573
50,0.6959571255672835,0.01961226733791486
75,1.7908106397391477,0.009122886762166531
100,2.595074834364192,0.009902759002312602
