window_size,dp_v,dp_v3,J
1,-1.5,-1.5,1.4122645774053637
1,-1.5,-1.45,1.4044520093503972
1,-1.5,-1.4,1.39631227929667
1,-1.5,-1.35,1.3878496592709473
1,-1.5,-1.3,1.3790585513252591
1,-1.5,-1.25,1.3699291686613617
1,-1.5,-1.2,1.3604493439606251
1,-1.5,-1.15,1.3506050554472397
1,-1.5,-1.1,1.3403804998385576
1,-1.5,-1.05,1.3297579709167173
1,-1.5,-1.0,1.318717632263077
1,-1.5,-0.95,1.3072372192117592
1,-1.5,-0.9,1.2952916855665855
1,-1.5,-0.85,1.2828528009656028
1,-1.5,-0.8,1.2698886977417847
1,-1.5,-0.75,1.256363359629938
1,-1.5,-0.7,1.2422360381992472
1,-1.5,-0.65,1.2274605762951494
1,-1.5,-0.6,1.2119846108062984
1,-1.5,-0.55,1.1957486192445343
1,-1.5,-0.5,1.1786847651796342
1,-1.5,-0.45,1.160715485464643
1,-1.5,-0.4,1.141751746046688
1,-1.5,-0.35,1.1216908711579143
1,-1.5,-0.3,1.1004138203551446
1,-1.5,-0.25,1.0777817458493855
1,-1.5,-0.2,1.0536316042436895
1,-1.5,-0.15,1.0277705161682757
1,-1.5,-0.1,0.9999684573358965
1,-1.5,-0.05,0.9699487197715324
1,-1.5,0.0,0.9373754081133938
1,-1.5,0.05,0.901837081817574
1,-1.5,0.1,0.8628257165102138
1,-1.5,0.15,0.8197111344295066
1,-1.5,0.2,0.7717154189563517
1,-1.5,0.25,0.7179089265601792
1,-1.5,0.3,0.6573191196670662
1,-1.5,0.35,0.5896542107857232
1,-1.5,0.4,0.5188596722406205
1,-1.5,0.45,0.4865398600870266
1,-1.5,0.5,1000.0
1,-1.5,0.55,1000.0
1,-1.5,0.6,1000.0
1,-1.5,0.65,1000.0
1,-1.5,0.7,1000.0
1,-1.5,0.75,1000.0
1,-1.5,0.8,1000.0
1,-1.5,0.85,1000.0
1,-1.5,0.9,1000.0
1,-1.5,0.95,1000.0
1,-1.5,1.0,1000.0
1,-1.5,1.05,1000.0
1,-1.5,1.1,1000.0
1,-1.5,1.15,1000.0
1,-1.5,1.2,1000.0
1,-1.5,1.25,1000.0
1,-1.5,1.3,1000.0
1,-1.5,1.35,1000.0
1,-1.5,1.4,1000.0
1,-1.5,1.45,1000.0
1,-1.5,1.5,1000.0
1,-1.45,-1.5,1.389347579342613
1,-1.45,-1.45,1.3812378439005535
1,-1.45,-1.4,1.3727967216960226
1,-1.45,-1.35,1.3640262841354707
1,-1.45,-1.3,1.3549198030207634
