window_size,dp_xy_x,dp_xy_y,J
1,-1.0,-0.8,1.3776749682635059
1,-1.0,-0.79,1.371468494046196
1,-1.0,-0.78,1.3653559226467917
1,-1.0,-0.77,1.3593393755552017
1,-1.0,-0.76,1.353421002757413
1,-1.0,-0.75,1.3476029829238443
1,-1.0,-0.74,1.3418875235946943
1,-1.0,-0.73,1.33627686136219
1,-1.0,-0.72,1.3307732620495676
1,-1.0,-0.71,1.3253790208867118
1,-1.0,-0.7,1.3200964626823068
1,-1.0,-0.69,1.3149279419923663
1,-1.0,-0.68,1.3098758432850548
1,-1.0,-0.67,1.3049425811016366
1,-1.0,-0.66,1.3001306002134516
1,-1.0,-0.65,1.295442375774767
1,-1.0,-0.64,1.2908804134714214
1,-1.0,-0.63,1.2864472496650765
1,-1.0,-0.62,1.2821454515329955
1,-1.0,-0.61,1.27797761720319
1,-1.0,-0.6,1.273946375884823
1,-1.0,-0.59,1.2700543879937303
1,-1.0,-0.58,1.2663043452729312
1,-1.0,-0.57,1.2626989709079957
1,-1.0,-0.56,1.2592410196371482
1,-1.0,-0.55,1.255933277855959
1,-1.0,-0.54,1.2527785637165187
1,-1.0,-0.53,1.2497797272209377
1,-1.0,-0.52,1.2469396503090566
1,-1.0,-0.51,1.2442612469402319
1,-1.0,-0.5,1.2417474631690837
1,-1.0,-0.49,1.2394012772150336
1,-1.0,-0.48,1.2372256995255624
1,-1.0,-0.47,1.2352237728330064
1,-1.0,-0.46,1.2333985722048002
1,-1.0,-0.45,1.2317532050870186
1,-1.0,-0.44,1.2302908113411077
1,-1.0,-0.43,1.229014563273661
1,-1.0,-0.42,1.227927665659139
1,-1.0,-0.41,1.2270333557553899
1,-1.0,-0.4,1.2263349033118593
1,-1.0,-0.39,1.2258356105703743
1,-1.0,-0.38,1.225538812258362
1,-1.0,-0.37,1.2254478755744171
1,-1.0,-0.36,1.225566200166073
1,-1.0,-0.35,1.2258972180996799
1,-1.0,-0.34,1.2264443938223053
1,-1.0,-0.33,1.2272112241204134
1,-1.0,-0.32,1.228201238796879
1,-1.0,-0.31,1.2294181087980567
1,-1.0,-0.3,1.2308766464988343
1,-1.0,-0.29,1.2326296002973285
1,-1.0,-0.28,1.2346315047542287
1,-1.0,-0.27,1.2368748302678814
1,-1.0,-0.26,1.239363188293819
1,-1.0,-0.25,1.2421003308735672
1,-1.0,-0.24,1.2450900423208655
1,-1.0,-0.23,1.2483361383571845
1,-1.0,-0.22,1.2518424659646405
1,-1.0,-0.21,1.2556129032345615
1,-1.0,-0.2,1.2596513592067595
1,-1.0,-0.19,1.2639617736994162
1,-1.0,-0.18,1.268548117129495
1,-1.0,-0.17,1.2734143903236448
1,-1.0,-0.16,1.2785646243194995
1,-1.0,-0.15,1.2840028801573538
1,-1.0,-0.14,1.2897332486621274
1,-1.0,-0.13,1.2957598502155925
1,-1.0,-0.12,1.3020868345188148
1,-1.0,-0.11,1.3087183803447637
1,-1.0,-0.1,1.3156586952810476
1,-1.0,-0.09,1.3229120154627818
