t,v,w,J11_prefix,J12_prefix,J21_prefix,J22_prefix,J11_fixed,J12_fixed,J21_fixed,J22_fixed,J11_exact,eig_re1_prefix,eig_im1_prefix,eig_re2_prefix,eig_im2_prefix,eig_re1_fixed,eig_im1_fixed,eig_re2_fixed,eig_im2_fixed,trace_prefix,trace_fixed,det_prefix,det_fixed
0.0,-1.929437229309386,0.9101151095828509,1.0,-1.0,0.08,-0.064,-2.7227280218450796,-1.0,0.08,-0.064,-2.7227280218450796,0.91858184606129,0.0,0.017418153938710032,0.0,-0.094438041694092,0.0,-2.6922899801509876,0.0,0.9359999999999999,-2.7867280218450796,0.016,0.2542545933980851
0.25,-1.9155737728924656,0.8714134198397485,1.0,-1.0,0.08,-0.064,-2.669422879393475,-1.0,0.08,-0.064,-2.669422879393475,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09507584129727993,0.0,-2.638347038096195,0.0,0.9359999999999999,-2.733422879393475,0.016,0.2508430642811824
0.5,-1.9014837322731335,0.8336036527597914,1.0,-1.0,0.08,-0.064,-2.6156403840993656,-1.0,0.08,-0.064,-2.6156403840993656,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09574737969435707,0.0,-2.5838930044050086,0.0,0.9359999999999999,-2.6796403840993657,0.016,0.2474009845823594
0.75,-1.8873004455401534,0.7966746633284079,1.0,-1.0,0.08,-0.064,-2.5619029717360613,-1.0,0.08,-0.064,-2.5619029717360613,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09644837693161631,0.0,-2.529454594804445,0.0,0.9359999999999999,-2.6259029717360614,0.016,0.2439617901911079
1.0,-1.8730891095330147,0.7606135967388087,1.0,-1.0,0.08,-0.064,-2.5084628122511816,-1.0,0.08,-0.064,-2.5084628122511816,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09717732404196291,0.0,-2.4752854882092183,0.0,0.9359999999999999,-2.5724628122511817,0.016,0.24054161998407564
1.25,-1.8588817622244627,0.7254068772835245,1.0,-1.0,0.08,-0.064,-2.4554414059307232,-1.0,0.08,-0.064,-2.4554414059307232,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09793414791319605,0.0,-2.4215072580175274,0.0,0.9359999999999999,-2.5194414059307233,0.016,0.2371482499795663
1.5,-1.84469410235031,0.6910406903771935,1.0,-1.0,0.08,-0.064,-2.402896331246016,-1.0,0.08,-0.064,-2.402896331246016,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09871955838733143,0.0,-2.3681767728586847,0.0,0.9359999999999999,-2.466896331246016,0.016,0.23378536519974502
1.75,-1.8305336700645556,0.6575012195804468,1.0,-1.0,0.08,-0.064,-2.3508535172400107,-1.0,0.08,-0.064,-2.3508535172400107,0.91858184606129,0.0,0.017418153938710032,0.0,-0.09953472763131195,0.0,-2.315318789608699,0.0,0.9359999999999999,-2.4148535172400107,0.016,0.23045462510336068
2.0,-1.816403873564684,0.6247747638126013,1.0,-1.0,0.08,-0.064,-2.299323031900788,-1.0,0.08,-0.064,-2.299323031900788,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10038113407133076,0.0,-2.2629418978294575,0.0,0.9359999999999999,-2.363323031900788,0.016,0.22715667404165044
2.25,-1.8023059949116513,0.5928477952787803,1.0,-1.0,0.08,-0.064,-2.2483068992944775,-1.0,0.08,-0.064,-2.2483068992944775,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10126048940133606,0.0,-2.2110464098931413,0.0,0.9359999999999999,-2.3123068992944775,0.016,0.22389164155484656
2.5,-1.7882402009897445,0.5617069877216363,1.0,-1.0,0.08,-0.064,-2.1978030164358415,-1.0,0.08,-0.064,-2.1978030164358415,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10217470860702599,0.0,-2.1596283078288154,0.0,0.9359999999999999,-2.2618030164358416,0.016,0.2206593930518939
2.75,-1.774206058751138,0.5313392296582665,1.0,-1.0,0.08,-0.064,-2.1478071389092457,-1.0,0.08,-0.064,-2.1478071389092457,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10312590314853479,0.0,-2.108681235760711,0.0,0.9359999999999999,-2.2118071389092457,0.016,0.21745965689019173
3.0,-1.7602028004504906,0.5017316299490523,1.0,-1.0,0.08,-0.064,-2.0983138987137497,-1.0,0.08,-0.064,-2.0983138987137497,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10411638744299809,0.0,-2.0581975112707513,0.0,0.9359999999999999,-2.16231389871375,0.016,0.21429208951768
3.25,-1.7462294612430809,0.4728715194246536,1.0,-1.0,0.08,-0.064,-2.0493173313133006,-1.0,0.08,-0.064,-2.0493173313133006,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10514869382070499,0.0,-2.0081686374925956,0.0,0.9359999999999999,-2.1133173313133007,0.016,0.21115630920405126
3.5,-1.7322849508061091,0.44474645048411143,1.0,-1.0,0.08,-0.064,-2.0008111507893234,-1.0,0.08,-0.064,-2.0008111507893234,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10622559371968196,0.0,-1.9585855570696413,0.0,0.9359999999999999,-2.0648111507893234,0.016,0.20805191365051673
3.75,-1.7183680904082117,0.4173441956582644,1.0,-1.0,0.08,-0.064,-1.952788894133164,-1.0,0.08,-0.064,-1.952788894133164,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10735012426653509,0.0,-1.9094387698666289,0.0,0.9359999999999999,-2.016788894133164,0.016,0.20497848922452253
4.0,-1.7044776316223749,0.39065274566188624,1.0,-1.0,0.08,-0.064,-1.90524399670102,-1.0,0.08,-0.064,-1.90524399670102,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10852562017805892,0.0,-1.8607183765229611,0.0,0.9359999999999999,-1.96924399670102,0.016,0.20193561578886526
4.25,-1.6906122651180333,0.36466030721399906,1.0,-1.0,0.08,-0.064,-1.858169830967527,-1.0,0.08,-0.064,-1.858169830967527,0.91858184606129,0.0,0.017418153938710032,0.0,-0.10975575141823526,0.0,-1.8124140795492916,0.0,0.9359999999999999,-1.922169830967527,0.016,0.19892286918192173
