window_size,param,J_prefix_stiff,J_fixed_stiff,J_explicit,missing_fraction
1,ptrue,0.004451884638420691,0.005028827908521655,0.005028827908568063,0.11472718506101562
1,pert1,0.03957183668408065,0.09910422818190787,0.09910422634663468,0.6007048598224717
1,pert2,0.0072558586009392355,0.020730210652951362,0.020730210767688228,0.6499862581036426
1,pert3,0.010426830268932449,0.03543016522403478,0.03543016537286525,0.7057075460133843
5,ptrue,0.005997870779114469,0.006610994020335522,0.0066109941304340935,0.09274297319511651
5,pert1,1000.0,1000.0,1000.0,0.0
5,pert2,0.15406932195337894,0.21574911601367217,0.21574911622500642,0.2858866594678633
5,pert3,0.11838950957269677,0.5408527729961985,0.5408527729751973,0.7811058471294389
10,ptrue,0.003221581146386652,0.0038801048176957363,0.0038801048995493383,0.1697180107882135
10,pert1,1000.0,1000.0,1000.0,0.0
10,pert2,1.3175112580423136,1.4023663328013065,1.402366330879264,0.060508493946435565
10,pert3,0.32922546162825594,1.1381835342446447,1.138183534657743,0.7107448388394176
25,ptrue,0.00578540486494183,0.0065133730819078185,0.006513373117588992,0.11176516496315313
25,pert1,1000.0,1000.0,1000.0,0.0
25,pert2,2.015235683976239,2.1655472251251267,2.1655472255394224,0.06941041941036528
25,pert3,0.6202988356710553,2.5722028903199785,2.5722028910348884,0.7588452924901694
100,ptrue,0.004364167930933922,0.004951379805482142,0.004951379501156123,0.11859560316864834
100,pert1,1000.0,1000.0,1000.0,0.0
100,pert2,2.696110546957879,2.8676922143701455,2.867692214072229,0.059832664939585375
100,pert3,0.8541184929293056,3.7642120426666463,3.764212041514127,0.7730950107889697
