param,window_size,window,t,v,w,is_node
true,1,1,0.0,-1.8633893588791945,0.9432517283983279,true
true,1,1,0.1,-1.8759558702077896,0.9279035376962608,false
true,1,1,0.2,-1.8843703767646123,0.9125702907581794,false
true,1,1,0.30000000000000004,-1.8895403034027127,0.8972812532766125,false
true,1,1,0.4,-1.8921938173428048,0.8820589997692619,false
true,1,1,0.5,-1.8929061383743895,0.8669207827157311,false
true,1,1,0.6000000000000001,-1.8921265684857047,0.8518796775104555,false
true,1,1,0.7000000000000001,-1.8902032583503436,0.8369455123096382,false
true,1,1,0.8,-1.887404483947407,0.8221256079675929,false
true,1,1,0.9,-1.8839362025299473,0.8074253584932276,false
true,1,1,1.0,-1.8799561572059242,0.792848681853651,false
true,1,2,1.0,-1.9125323535456933,0.6929179697822198,true
true,1,2,1.1,-1.8919788070934143,0.6789128519904627,false
true,1,2,1.2,-1.874878254698477,0.6651465369099823,false
true,1,2,1.3,-1.8603750597452822,0.6515935634668741,false
true,1,2,1.4,-1.8478444723774397,0.6382344789705532,false
true,1,2,1.5,-1.8368239369041826,0.6250542526563874,false
true,1,2,1.6,-1.8269670948218137,0.6120411494562567,false
true,1,2,1.7000000000000002,-1.818012179524158,0.5991859161311982,false
true,1,2,1.8,-1.8097598260032117,0.5864811844953594,false
true,1,2,1.9,-1.8020572070651308,0.5739210285359968,false
true,1,2,2.0,-1.794786519680844,0.5615006324511278,false
true,1,3,2.0,-1.7850999292832077,0.6076302784956488,true
true,1,3,2.1,-1.7842114863059264,0.5951036257865217,false
true,1,3,2.2,-1.7823760307950463,0.5826678953334029,false
true,1,3,2.3,-1.779786420640394,0.5703292606274748,false
true,1,3,2.4,-1.7765967034180108,0.5580924782103687,false
true,1,3,2.5,-1.7729296359045508,0.5459611752741663,false
true,1,3,2.6,-1.7688828936180596,0.5339380807877114,false
true,1,3,2.7,-1.7645341315649932,0.522025210330698,false
true,1,3,2.8,-1.7599450697116226,0.510224013398996,false
true,1,3,2.9,-1.755164768578279,0.49853549052815777,false
true,1,3,3.0,-1.750232242647644,0.48696028628306137,false
true,1,4,3.0,-1.7222571066428645,0.4630537913263451,true
true,1,4,3.1,-1.7201450238042144,0.45195573600617245,false
true,1,4,3.2,-1.7174048536275033,0.44094791747545004,false
true,1,4,3.3,-1.7141541258694066,0.43003428355645706,false
true,1,4,3.4,-1.7104884531827445,0.41921791002148967,false
true,1,4,3.5,-1.706485517391803,0.4085011645483257,false
true,1,4,3.6,-1.7022083855914871,0.39788584057370224,false
true,1,4,3.7,-1.6977082446304763,0.3873732662297127,false
true,1,4,3.8,-1.693026641395024,0.3769643928080914,false
true,1,4,3.9,-1.6881973094723022,0.3666598664966583,false
true,1,4,4.0,-1.6832476534234415,0.3564600865021319,false
true,1,5,4.0,-1.6694433869581868,0.3723335876818225,true
true,1,5,4.1,-1.6681277380474722,0.3622322161269165,false
true,1,5,4.2,-1.666105214418749,0.3522086881945192,false
true,1,5,4.3,-1.6634971248644457,0.3422676451349811,false
true,1,5,4.4,-1.6604041957550415,0.3324128157350733,false
true,1,5,4.5,-1.656909890795661,0.3226471727097564,false
true,1,5,4.6,-1.6530832714056325,0.31297306347244774,false
true,1,5,4.7,-1.6489814306015824,0.30339231899019337,false
true,1,5,4.8,-1.644651544564748,0.2939063440927855,false
true,1,5,4.9,-1.640132589693595,0.28451619221268537,false
true,1,5,5.0,-1.6354567720000057,0.2752226271339603,false
true,1,6,5.0,-1.6288245859175023,0.2992548548567516,true
true,1,6,5.1,-1.6272417428148995,0.2899447430780318,false
true,1,6,5.2,-1.6250444289094266,0.28070917212717156,false
true,1,6,5.3,-1.6223314246521774,0.2715521609405354,false
true,1,6,5.4,-1.6191857713312174,0.26247697960182975,false
true,1,6,5.5,-1.6156771499702878,0.2534862699293185,false
true,1,6,5.6,-1.6118639552106755,0.24458214754881885,false
true,1,6,5.7,-1.6077950822551756,0.23576628793811547,false
true,1,6,5.8,-1.60351145290482,0.2270399987327654,false
true,1,6,5.9,-1.5990473099111544,0.21840428034584533,false
true,1,6,6.0,-1.5944313090903433,0.209859876705666,false
true,1,7,6.0,-1.6058350378749668,0.1945719033519571,true
true,1,7,6.1,-1.5980376969036278,0.18613845309692656,false
true,1,7,6.2,-1.5905867771922866,0.17781956090122222,false
true,1,7,6.3,-1.5834268007065813,0.16961196188346522,false
true,1,7,6.4,-1.5765118423541187,0.1615128149444846,false
true,1,7,6.5,-1.5698037499378386,0.15351963126018778,false
true,1,7,6.6,-1.5632707242855877,0.14563021592711065,false
true,1,7,6.7,-1.5568861798568068,0.13784262013762327,false
true,1,7,6.8,-1.5506278254780494,0.1301551018327763,false
true,1,7,6.9,-1.5444769190645455,0.1225660932155514,false
true,1,7,7.0,-1.5384176607329532,0.11507417384141345,false
true,1,8,7.0,-1.5177769971566275,0.10912919098280535,true
true,1,8,7.1,-1.5138147108459503,0.10192734741898885,false
true,1,8,7.2,-1.5096605609451332,0.09480382971726786,false
true,1,8,7.3,-1.5053401934697708,0.0877595632686782,false
true,1,8,7.4,-1.5008756676938748,0.08079527772235769,false
true,1,8,7.5,-1.496285958267158,0.07391153478400679,false
true,1,8,7.6,-1.4915873888742868,0.06710875211191832,false
true,1,8,7.7,-1.4867940058181661,0.060387223847510295,false
true,1,8,7.8,-1.481917899219388,0.053747138249713666,false
true,1,8,7.9,-1.4769694787687493,0.04718859284122512,false
true,1,8,8.0,-1.4719577102073764,0.040711607419766774,false
true,1,9,8.0,-1.5900690618540554,0.11831699613929995,true
true,1,9,8.1,-1.5774774419947504,0.11051537246527243,false
true,1,9,8.2,-1.565909737298103,0.1028597219817338,false
true,1,9,8.3,-1.5551998076017184,0.09534163413414982,false
true,1,9,8.4,-1.5452119359942444,0.08795395065980793,false
true,1,9,8.5,-1.5358345000956226,0.08069054140477715,false
true,1,9,8.6,-1.5269751345143217,0.07354612577615303,false
true,1,9,8.7,-1.5185569900007396,0.06651612931443548,false
