window_size,trial,J_core,J_frozen_mod8,absdiff
1,1,0.01773109828394226,0.01773109828394226,0.0
1,2,0.36988263480773664,0.3698826348077368,1.6653345369377348e-16
1,3,10.713801028778171,10.713801028778086,8.526512829121202e-14
1,4,2.1020420365980064,2.102042036598006,4.440892098500626e-16
1,5,0.2982056627232084,0.2982056627232087,2.7755575615628914e-16
1,6,0.41786070535055764,0.41786070535055797,3.3306690738754696e-16
2,1,0.020915482849303117,0.020915482849303134,1.734723475976807e-17
2,2,1000.0,1000.0,0.0
2,3,1000.0,1000.0,0.0
2,4,1000.0,1000.0,0.0
2,5,1589.5904941364822,1589.5904941361775,3.0468072509393096e-10
2,6,1000.0,1000.0,0.0
5,1,0.020895430727674334,0.0208954307276743,3.469446951953614e-17
5,2,1000.0,1000.0,0.0
5,3,1.6615458386535742,1.661545838653572,2.220446049250313e-15
5,4,1000.0,1000.0,0.0
5,5,1.0084966286481882,1.0084966286481873,8.881784197001252e-16
5,6,0.9930367514038687,0.9930367514038643,4.440892098500626e-15
10,1,0.01543365226590483,0.015433652265904835,5.204170427930421e-18
10,2,1000.0,1000.0,0.0
10,3,1.282241599970924,1.282241599970925,8.881784197001252e-16
10,4,3.2415691015299557,3.2415691015299575,1.7763568394002505e-15
10,5,1000.0,1000.0,0.0
10,6,4.293346205190306,4.293346205190309,2.6645352591003757e-15
25,1,0.020700188701984125,0.020700188701984076,4.85722573273506e-17
25,2,1000.0,1000.0,0.0
25,3,1000.0,1000.0,0.0
25,4,4.476751196858274,4.476751196858275,8.881784197001252e-16
25,5,2.6296991836078747,2.6296991836078774,2.6645352591003757e-15
25,6,2.8721720745915413,2.8721720745915404,8.881784197001252e-16
50,1,0.02728570980472099,0.02728570980472081,1.8041124150158794e-16
50,2,6.073875824760644,6.073875824760645,8.881784197001252e-16
50,3,1000.0,1000.0,0.0
50,4,4.8510760355680365,4.851076035568037,8.881784197001252e-16
50,5,4.252670619731223,4.252670619731222,8.881784197001252e-16
50,6,1000.0,1000.0,0.0
100,1,0.017576201469118733,0.017576201469118452,2.8102520310824275e-16
100,2,1000.0,1000.0,0.0
100,3,1000.0,1000.0,0.0
100,4,5.544999606065665,5.544999606065664,8.881784197001252e-16
100,5,1000.0,1000.0,0.0
100,6,1000.0,1000.0,0.0
