window_size,vs,mean,lo,hi,n,n_better,n_tied
1,reset,0.0,0.0,0.0,8,0,8
1,best,0.0,0.0,0.0,8,0,8
2,reset,-0.7723512301738618,-1.1165704293801126,-0.4387915932339494,8,7,1
2,best,0.0,0.0,0.0,8,0,8
3,reset,-0.8679211771670858,-1.2817583615937735,-0.47066966463611143,8,7,1
3,best,-0.011464749804062545,-0.02716020358424767,-0.0006757013334661235,8,3,5
4,reset,-0.9232282603547518,-1.267284288359595,-0.5813064149870245,8,7,1
4,best,-0.01495589831402759,-0.029865335581588243,-0.0032952470170858894,8,3,5
5,reset,-1.1325945720049573,-1.625346206091396,-0.6525959242363312,8,7,1
5,best,0.009400699119831765,0.0012341079168479638,0.02204551239036229,8,0,5
6,reset,-1.1585563493741207,-1.5478019481653178,-0.7513057078784109,8,7,1
6,best,-0.10232397567546535,-0.1850224901418174,-0.030012939181026564,8,6,1
8,reset,-1.1127991666665704,-1.373202357503491,-0.7568671497517463,8,7,1
8,best,-0.02854381772056893,-0.06301833780987404,0.004705575626889988,8,6,1
10,reset,-1.2344927389383051,-1.6245488586648202,-0.8157466897656867,8,7,1
10,best,-0.02516070917787774,-0.06412349607442117,0.006173757089709282,8,4,1
12,reset,-1.1625257123915114,-1.4183270650461186,-0.8025091305464882,8,7,1
12,best,-0.033640382013591305,-0.08114123080571697,0.007261352998304104,8,4,1
15,reset,-1.1093048056624222,-1.3266208834517048,-0.7752965445449209,8,7,1
15,best,-0.018440664881008463,-0.07302751614447474,0.042520412217499116,8,4,1
20,reset,-1.2358139872695026,-1.552327452426911,-0.8364319370035346,8,7,1
20,best,-0.022894287002940786,-0.05980655960177012,0.009498051689069632,8,5,1
25,reset,-1.1108936836580448,-1.3899737540022326,-0.7510298640648376,8,7,1
25,best,-0.02628775581604016,-0.08614289558946714,0.04389848690106501,8,6,1
33,reset,-0.9927059095354885,-1.3428532104018647,-0.5976176157308571,8,7,1
33,best,-0.03054231316367712,-0.07464907570575965,0.017211668749464292,8,5,1
50,reset,-1.6296379011293882,-2.3869150805740817,-0.9373709837724902,8,7,1
50,best,0.01330998918749638,-0.0464351779746522,0.08640402331474231,8,4,1
75,reset,-1.167289086084975,-1.516685595331924,-0.7523207975278138,8,7,1
75,best,0.010717776426671564,-0.04979875775295195,0.08132780924615063,8,4,1
100,reset,-1.1376502560202444,-1.4291101820695817,-0.7671703427624365,8,7,1
100,best,0.01145089092074423,-0.05065163999064049,0.0824149710747669,8,4,1
