window_size,index,eigenvalue
1,1,0.00036250639792255695
1,2,0.001279852240080587
1,3,0.0015235563564883997
1,4,0.005951848906668555
1,5,0.006991924577323049
1,6,0.015972597888275247
1,7,0.045329606256606966
1,8,0.0791175280088562
1,9,0.11648729681197509
1,10,0.21217454932520796
1,11,0.33368816089599024
1,12,0.647024401812662
1,13,0.9276626660184364
1,14,1.304225145393544
1,15,2.009530240601483
1,16,3.0157148179011086
1,17,5.636718558455944
1,18,7.417426665465326
1,19,13.462147412698783
1,20,36.45070123035816
5,1,-0.005660880159461167
5,2,-0.003671320724431443
5,3,0.0016710743812724735
5,4,0.009038364057154797
5,5,0.009837473902653575
5,6,0.04301179103380713
5,7,0.10711602935056959
5,8,0.2536982499178728
5,9,0.5109855865426143
5,10,0.6909061736912409
5,11,0.9467709952231161
5,12,2.082444948696137
5,13,4.092516367470889
5,14,7.53834191533154
5,15,9.536285948289468
5,16,14.025086086323698
5,17,32.0493099536665
5,18,102.87471845125137
5,19,419.29669718192656
5,20,526.8612471552631
25,1,-35.62416121270515
25,2,-2.7055543716670267
25,3,-1.365163977215581
25,4,-1.0338014188904174
25,5,-0.1302150464962794
25,6,-0.024120244911455875
25,7,0.00683180003828988
25,8,0.09532654744771897
25,9,0.14698410270410064
25,10,0.3671325612143147
25,11,1.0429996369230825
25,12,2.3872149537947163
25,13,4.241646722011751
25,14,10.213944251339171
25,15,21.685500705610174
25,16,50.149104942931864
25,17,86.93394747492356
25,18,1354.8070476803102
25,19,9220.389580954321
25,20,122041.66887521387
100,1,-135.41018477613605
100,2,-25.85106334644256
100,3,-7.47192325423027
100,4,-3.2500616704328187
100,5,-1.3161511414589846
100,6,0.013528224538811489
100,7,0.20670180616477454
100,8,0.47319194555221955
100,9,1.331237497412871
100,10,1.9938631596399323
100,11,6.822061645428381
100,12,15.23742222477324
100,13,19.272977663149955
100,14,32.5252696537631
100,15,91.53914703777174
100,16,209.70001163258044
100,17,259.4553947644872
100,18,1534.137812935668
100,19,12386.648254752918
100,20,1.2014118332605409e6
