direction,window_size,s,J
1,1,-2.0,1000.0
1,1,-1.99,1000.0
1,1,-1.98,1000.0
1,1,-1.97,1000.0
1,1,-1.96,1000.0
1,1,-1.95,1000.0
1,1,-1.94,1000.0
1,1,-1.93,1000.0
1,1,-1.92,1000.0
1,1,-1.91,1000.0
1,1,-1.9,1000.0
1,1,-1.89,1000.0
1,1,-1.88,1000.0
1,1,-1.87,1000.0
1,1,-1.86,1000.0
1,1,-1.85,1000.0
1,1,-1.84,1000.0
1,1,-1.83,1000.0
1,1,-1.82,1000.0
1,1,-1.81,1000.0
1,1,-1.8,1000.0
1,1,-1.79,1000.0
1,1,-1.78,1000.0
1,1,-1.77,1000.0
1,1,-1.76,1000.0
1,1,-1.75,1000.0
1,1,-1.74,1000.0
1,1,-1.73,1000.0
1,1,-1.72,1000.0
1,1,-1.71,1000.0
1,1,-1.7,1000.0
1,1,-1.69,1000.0
1,1,-1.68,1000.0
1,1,-1.67,1000.0
1,1,-1.66,1000.0
1,1,-1.65,1000.0
1,1,-1.64,1000.0
1,1,-1.63,1000.0
1,1,-1.62,1000.0
1,1,-1.61,1000.0
1,1,-1.6,1000.0
1,1,-1.59,1000.0
1,1,-1.58,1000.0
1,1,-1.57,1000.0
1,1,-1.56,1000.0
1,1,-1.55,1000.0
1,1,-1.54,1000.0
1,1,-1.53,1000.0
1,1,-1.52,1000.0
1,1,-1.51,1000.0
1,1,-1.5,1000.0
1,1,-1.49,1000.0
1,1,-1.48,1000.0
1,1,-1.47,1000.0
1,1,-1.46,1000.0
1,1,-1.45,1000.0
1,1,-1.44,1000.0
1,1,-1.43,1000.0
1,1,-1.42,1000.0
1,1,-1.41,1000.0
1,1,-1.4,1000.0
1,1,-1.39,1000.0
1,1,-1.38,1000.0
1,1,-1.37,1000.0
1,1,-1.36,1000.0
1,1,-1.35,1000.0
1,1,-1.34,1000.0
1,1,-1.33,1000.0
1,1,-1.32,1000.0
1,1,-1.31,1000.0
1,1,-1.3,1000.0
1,1,-1.29,1000.0
1,1,-1.28,1000.0
1,1,-1.27,1000.0
1,1,-1.26,1000.0
1,1,-1.25,1000.0
1,1,-1.24,1000.0
1,1,-1.23,1000.0
1,1,-1.22,1000.0
1,1,-1.21,1000.0
1,1,-1.2,1000.0
1,1,-1.19,1000.0
1,1,-1.18,1000.0
1,1,-1.17,1000.0
1,1,-1.16,1000.0
1,1,-1.15,1000.0
1,1,-1.14,1000.0
1,1,-1.13,1000.0
1,1,-1.12,1000.0
1,1,-1.11,1000.0
1,1,-1.1,1000.0
1,1,-1.09,1000.0
1,1,-1.08,1000.0
1,1,-1.07,1000.0
1,1,-1.06,1000.0
1,1,-1.05,1000.0
1,1,-1.04,1000.0
1,1,-1.03,1000.0
1,1,-1.02,1000.0
1,1,-1.01,1000.0
1,1,-1.0,1000.0
1,1,-0.99,1000.0
1,1,-0.98,1000.0
1,1,-0.97,1000.0
1,1,-0.96,1000.0
1,1,-0.95,1000.0
1,1,-0.94,1000.0
1,1,-0.93,1000.0
1,1,-0.92,1000.0
1,1,-0.91,1000.0
1,1,-0.9,1000.0
1,1,-0.89,1000.0
1,1,-0.88,1000.0
1,1,-0.87,1000.0
1,1,-0.86,1000.0
1,1,-0.85,1000.0
1,1,-0.84,1000.0
1,1,-0.83,1000.0
1,1,-0.82,1000.0
1,1,-0.81,1000.0
1,1,-0.8,1000.0
1,1,-0.79,1000.0
1,1,-0.78,1000.0
1,1,-0.77,1000.0
1,1,-0.76,1000.0
1,1,-0.75,1000.0
1,1,-0.74,1000.0
1,1,-0.73,1000.0
1,1,-0.72,1000.0
1,1,-0.71,1000.0
1,1,-0.7,1000.0
1,1,-0.69,1000.0
1,1,-0.68,1000.0
1,1,-0.67,1000.0
1,1,-0.66,1000.0
1,1,-0.65,1000.0
1,1,-0.64,1000.0
1,1,-0.63,1000.0
1,1,-0.62,1000.0
1,1,-0.61,1000.0
1,1,-0.6,1000.0
1,1,-0.59,1000.0
1,1,-0.58,1000.0
1,1,-0.57,1000.0
1,1,-0.56,1000.0
1,1,-0.55,1000.0
1,1,-0.54,1000.0
1,1,-0.53,1000.0
1,1,-0.52,1000.0
1,1,-0.51,1000.0
1,1,-0.5,1000.0
1,1,-0.49,1000.0
1,1,-0.48,1000.0
1,1,-0.47,690.4700706526355
1,1,-0.46,12.363557121732345
1,1,-0.45,4.764946656642102
1,1,-0.44,3.1336480108293916
1,1,-0.43,2.368722620022309
1,1,-0.42,1.905345826132439
1,1,-0.41,1.587295355142305
1,1,-0.4,1.3521821900290345
1,1,-0.39,1.169646122271665
1,1,-0.38,1.0229339585362942
1,1,-0.37,0.9019522783357514
1,1,-0.36,0.8002108269152138
1,1,-0.35,0.7133208743533107
1,1,-0.34,0.6381933336882774
1,1,-0.33,0.5725815614933135
1,1,-0.32,0.5148065097138387
1,1,-0.31,0.46358411284237144
1,1,-0.3,0.4179128217935166
1,1,-0.29,0.3769979917091622
1,1,-0.28,0.3401996515248162
1,1,-0.27,0.3069955622345081
1,1,-0.26,0.2769545393982419
1,1,-0.25,0.2497168290995797
1,1,-0.24,0.22497943242726795
1,1,-0.23,0.20248496673508976
1,1,-0.22,0.18201309728746087
1,1,-0.21,0.16337386544400817
1,1,-0.2,0.1464024355956997
1,1,-0.19,0.13095491687545385
1,1,-0.18,0.11690500852229398
1,1,-0.17,0.10414128320407481
1,1,-0.16,0.0925649693542952
1,1,-0.15,0.08208812742165579
1,1,-0.14,0.07263213973019775
1,1,-0.13,0.06412645203191498
1,1,-0.12,0.056507518620855984
1,1,-0.11,0.04971791335087844
1,1,-0.1,0.04370557699413222
1,1,-0.09,0.03842317782717174
1,1,-0.08,0.03382756781477041
1,1,-0.07,0.029879322136297026
1,1,-0.06,0.02654235664507203
1,1,-0.05,0.023783629999734057
1,1,-0.04,0.021572965543190784
1,1,-0.03,0.019883105775335135
1,1,-0.02,0.018690334158053455
1,1,-0.01,0.017976437984779787
1,1,0.0,0.01773109828394226
1,1,0.01,0.01794230946509325
1,1,0.02,0.018581597287664106
1,1,0.03,0.01961853007410359
1,1,0.04,0.02103002378535722
1,1,0.05,0.022797667784247373
1,1,0.06,0.02490546370863788
1,1,0.07,0.02733888618704515
1,1,0.08,0.030084485762941808
1,1,0.09,0.0331296925791114
1,1,0.1,0.036462700210272606
1,1,0.11,0.04007238544400495
1,1,0.12,0.043948246408881966
1,1,0.13,0.04808035137983465
1,1,0.14,0.05245929460394924
1,1,0.15,0.05707615723596164
1,1,0.16,0.06192247228549819
1,1,0.17,0.06699019288184861
1,1,0.18,0.07227166337640084
1,1,0.19,0.07775959292501129
1,1,0.2,0.083447031267607
1,1,0.21,0.08932734647201024
1,1,0.22,0.09539420444430516
1,1,0.23,0.10164155003475112
1,1,0.24,0.10806358958939476
1,1,0.25,0.11465477481490706
1,1,0.26,0.12140978783880602
1,1,0.27,0.1283235273597821
1,1,0.28,0.1353910957937444
1,1,0.29,0.1426077873307528
1,1,0.3,0.14996907682640892
1,1,0.31,0.15747060945873032
1,1,0.32,0.16510819108813668
1,1,0.33,0.17287777926407077
1,1,0.34,0.1807754748270296
1,1,0.35,0.18879751405948425
1,1,0.36,0.19694026134338213
1,1,0.37,0.20520020228570005
1,1,0.38,0.21357393727692586
1,1,0.39,0.22205817545040385
1,1,0.4,0.23064972901323447
1,1,0.41,0.23934550792192358
1,1,0.42,0.24814251487822156
1,1,0.43,0.2570378406226349
1,1,0.44,0.2660286595049509
1,1,0.45,0.2751122253127865
1,1,0.46,0.2842858673407075
1,1,0.47,0.29354698668385254
1,1,0.48,0.30289305274125927
1,1,0.49,0.31232159991525893
1,1,0.5,0.3218302244943486
1,1,0.51,0.33141658170793575
1,1,0.52,0.3410783829422317
1,1,0.53,0.35081339310739973
1,1,0.54,0.360619428146829
1,1,0.55,0.37049435268012704
1,1,0.56,0.380436077772096
1,1,0.57,0.39044255882063994
1,1,0.58,0.4005117935571977
1,1,0.59,0.4106418201539904
1,1,0.6,0.4208307154331253
