window_size,dp_v,dp_v3,J
1,-1.5,-1.5,1.4122645774053637
1,-1.5,-1.4625,1.4064363670672992
1,-1.5,-1.425,1.400422426852976
1,-1.5,-1.3875,1.394227010893315
1,-1.5,-1.35,1.3878496592709473
1,-1.5,-1.3125,1.3812876114283519
1,-1.5,-1.275,1.3745368584286275
1,-1.5,-1.2375,1.3675925839819174
1,-1.5,-1.2,1.3604493439606251
1,-1.5,-1.1625,1.3531011291697763
1,-1.5,-1.125,1.345541370806482
1,-1.5,-1.0875,1.3377629139840699
1,-1.5,-1.05,1.3297579709167173
1,-1.5,-1.0125,1.321518059546548
1,-1.5,-0.975,1.3130339307506622
1,-1.5,-0.9375,1.304295485888513
1,-1.5,-0.9,1.2952916855665855
1,-1.5,-0.8625,1.2860104497908191
1,-1.5,-0.825,1.2764385490229928
1,-1.5,-0.7875,1.2665614850126872
1,-1.5,-0.75,1.256363359629938
1,-1.5,-0.7125,1.245826729270589
1,-1.5,-0.675,1.234932441737
1,-1.5,-0.6375,1.2236594517913655
1,-1.5,-0.6,1.2119846108062984
1,-1.5,-0.5625,1.1998824250548352
1,-1.5,-0.525,1.1873247761354304
1,-1.5,-0.4875,1.1742805957501694
1,-1.5,-0.45,1.160715485464643
1,-1.5,-0.4125,1.1465912700750627
1,-1.5,-0.375,1.1318654706660671
1,-1.5,-0.3375,1.1164906802022292
1,-1.5,-0.3,1.1004138203551446
1,-1.5,-0.2625,1.0835752529703806
1,-1.5,-0.225,1.0659077128059535
1,-1.5,-0.1875,1.0473350195442237
1,-1.5,-0.15,1.0277705161682757
1,-1.5,-0.1125,1.0071151672182321
1,-1.5,-0.075,0.9852552340824025
1,-1.5,-0.0375,0.9620594260369999
1,-1.5,0.0,0.9373754081133938
1,-1.5,0.0375,0.9110255383903026
1,-1.5,0.075,0.8828017298057408
1,-1.5,0.1125,0.8524594405403517
1,-1.5,0.15,0.8197111344295066
1,-1.5,0.1875,0.7842204932664195
1,-1.5,0.225,0.745601245475434
1,-1.5,0.2625,0.7034317988251857
1,-1.5,0.3,0.6573191196670662
1,-1.5,0.3375,0.6071428547634465
1,-1.5,0.375,0.5539468894609639
1,-1.5,0.4125,0.5029023747218088
1,-1.5,0.45,0.4865398600870266
1,-1.5,0.4875,804.9316122497661
1,-1.5,0.525,1000.0
1,-1.5,0.5625,1000.0
1,-1.5,0.6,1000.0
1,-1.5,0.6375,1000.0
1,-1.5,0.675,1000.0
1,-1.5,0.7125,1000.0
1,-1.5,0.75,1000.0
1,-1.5,0.7875,1000.0
1,-1.5,0.825,1000.0
1,-1.5,0.8625,1000.0
1,-1.5,0.9,1000.0
1,-1.5,0.9375,1000.0
1,-1.5,0.975,1000.0
1,-1.5,1.0125,1000.0
1,-1.5,1.05,1000.0
1,-1.5,1.0875,1000.0
1,-1.5,1.125,1000.0
1,-1.5,1.1625,1000.0
1,-1.5,1.2,1000.0
1,-1.5,1.2375,1000.0
1,-1.5,1.275,1000.0
1,-1.5,1.3125,1000.0
1,-1.5,1.35,1000.0
1,-1.5,1.3875,1000.0
1,-1.5,1.425,1000.0
