window_size,dp_w,dp_wv,J
1,-1.5,-0.5,1.3430009707072463
1,-1.5,-0.4875,1.3086840435704599
1,-1.5,-0.475,1.275650002365507
1,-1.5,-0.4625,1.243887553413194
1,-1.5,-0.45,1.213385440577666
1,-1.5,-0.4375,1.1841324453171456
1,-1.5,-0.425,1.1561173867232717
1,-1.5,-0.4125,1.1293291215486774
1,-1.5,-0.4,1.1037565442225308
1,-1.5,-0.3875,1.0793885868537323
1,-1.5,-0.375,1.0562142192215034
1,-1.5,-0.3625,1.0342224487531362
1,-1.5,-0.35,1.013402320488646
1,-1.5,-0.3375,0.9937429170321688
1,-1.5,-0.325,0.9752333584898822
1,-1.5,-0.3125,0.957862802394329
1,-1.5,-0.3,0.9416204436150073
1,-1.5,-0.2875,0.92649551425513
1,-1.5,-0.275,0.9124772835344785
1,-1.5,-0.2625,0.899555057658325
1,-1.5,-0.25,0.8877181796723839
1,-1.5,-0.2375,0.8769560293038458
1,-1.5,-0.225,0.8672580227885068
1,-1.5,-0.2125,0.8586136126840929
1,-1.5,-0.2,0.8510122876698758
1,-1.5,-0.1875,0.8444435723327351
1,-1.5,-0.175,0.8388970269398136
1,-1.5,-0.1625,0.834362247197983
1,-1.5,-0.15,0.8308288640003514
1,-1.5,-0.1375,0.82828654316006
1,-1.5,-0.125,0.8267249851316695
1,-1.5,-0.1125,0.8261339247213259
1,-1.5,-0.1,0.8265031312339346
1,-1.5,-0.0875,0.8278226383527925
1,-1.5,-0.075,0.8301073749700628
1,-1.5,-0.0625,0.833358041960177
1,-1.5,-0.05,0.8375291706111329
1,-1.5,-0.0375,0.8426099109449086
1,-1.5,-0.025,0.8485902275711754
1,-1.5,-0.0125,0.8554601183092574
1,-1.5,0.0,0.8632096122382832
1,-1.5,0.0125,0.8718287693061442
1,-1.5,0.025,0.8813076799346397
1,-1.5,0.0375,0.8916364646184287
1,-1.5,0.05,0.9028052735184035
1,-1.5,0.0625,0.9148042860501353
1,-1.5,0.075,0.9276237104680682
1,-1.5,0.0875,0.9412537834461315
1,-1.5,0.1,0.9556847696554817
1,-1.5,0.1125,0.97090696134006
1,-1.5,0.125,0.9869106778907261
1,-1.5,0.1375,1.0036862654186458
1,-1.5,0.15,1.0212240963287198
1,-1.5,0.1625,1.0395145688937804
1,-1.5,0.175,1.0585481068303124
1,-1.5,0.1875,1.0783151588764681
1,-1.5,0.2,1.098806198373135
1,-1.5,0.2125,1.1200117228488375
1,-1.5,0.225,1.141922253609242
1,-1.5,0.2375,1.164528335332033
1,-1.5,0.25,1.1878205356679536
1,-1.5,0.2625,1.2117894448487765
1,-1.5,0.275,1.2364256753029865
1,-1.5,0.2875,1.2617198612799467
1,-1.5,0.3,1.287662658483313
1,-1.5,0.3125,1.3142447437144926
1,-1.5,0.325,1.3414568145268553
1,-1.5,0.3375,1.369289588891532
1,-1.5,0.35,1.3977338048754653
1,-1.5,0.3625,1.4267802203325362
1,-1.5,0.375,1.4564196126084408
1,-1.5,0.3875,1.4866427782600786
1,-1.5,0.4,1.5174405327901692
1,-1.5,0.4125,1.5488037103977725
1,-1.5,0.425,1.58072316374545
1,-1.5,0.4375,1.6131897637437131
1,-1.5,0.45,1.646194399353455
1,-1.5,0.4625,1.6797279774069906
1,-1.5,0.475,1.7137814224483756
1,-1.5,0.4875,1.7483456765936045
1,-1.5,0.5,1.783411699411296
1,-1.4625,-0.5,1.3069991234227052
1,-1.4625,-0.4875,1.2728906255731214
1,-1.4625,-0.475,1.2400524674061886
1,-1.4625,-0.4625,1.2084734967976916
1,-1.4625,-0.45,1.178142597806835
1,-1.4625,-0.4375,1.1490486907340365
1,-1.4625,-0.425,1.1211807321691705
1,-1.4625,-0.4125,1.0945277150300043
1,-1.4625,-0.4,1.0690786685905134
1,-1.4625,-0.3875,1.0448226584988067
1,-1.4625,-0.375,1.0217487867844055
1,-1.4625,-0.3625,0.9998461918546362
1,-1.4625,-0.35,0.9791040484798949
1,-1.4625,-0.3375,0.959511567767596
1,-1.4625,-0.325,0.941057997124596
1,-1.4625,-0.3125,0.9237326202079363
1,-1.4625,-0.3,0.9075247568637342
1,-1.4625,-0.2875,0.892423763054134
1,-1.4625,-0.275,0.8784190307721655
1,-1.4625,-0.2625,0.8654999879444624
1,-1.4625,-0.25,0.8536560983217735
1,-1.4625,-0.2375,0.8428768613572234
1,-1.4625,-0.225,0.8331518120723321
1,-1.4625,-0.2125,0.8244705209108001
1,-1.4625,-0.2,0.8168225935800912
1,-1.4625,-0.1875,0.8101976708809279
1,-1.4625,-0.175,0.8045854285247291
1,-1.4625,-0.1625,0.7999755769391763
