plane,n,window_size,f_blow,basin,J_min,J_max
lv_x2_xy,201,1,0.0011138338159946137,0.013366005791935844,0.02821068,987.9991
lv_x2_xy,201,2,0.1300957897081756,0.005940447018638152,0.02840835,983.1375
lv_x2_xy,201,3,0.21670255686740425,0.003737531249226504,0.03005139,997.1488
lv_x2_xy,201,4,0.2465780549986386,0.002326675082299943,0.02834986,985.8196
lv_x2_xy,201,5,0.2522709833915002,0.0018811415559020815,0.02874651,990.6004
lv_x2_xy,201,6,0.26610727457241157,0.0017821341055914458,0.03231166,994.6722
lv_x2_xy,201,8,0.2889779955941685,0.0011385856785723126,0.03164994,996.2132
lv_x2_xy,201,10,0.28949778470829934,0.0008663151902180639,0.02994141,999.4689
lv_x2_xy,201,12,0.2978144105343927,0.0010890819534169946,0.0389083,992.8756
lv_x2_xy,201,15,0.298878740625232,0.0004950372515531794,0.02820769,992.8804
lv_x2_xy,201,20,0.329001757382243,0.0005940447018638153,0.03833001,994.661
lv_x2_xy,201,25,0.38382713299175764,0.000767307739907428,0.06125663,999.2003
lv_x2_xy,201,33,0.3587782480631667,0.0004702853889755204,0.03463535,994.1928
lv_x2_xy,201,50,0.401796985223138,0.00019801490062127175,0.02826849,998.8756
lv_x2_xy,201,75,0.394470433900151,0.00017326303804361277,0.02425097,998.409
lv_x2_xy,201,100,0.401871240810871,7.425558773297691e-05,0.02198452,999.9281
v2_w2,201,1,0.0,0.031583376649092845,0.0177311,2.642782
v2_w2,201,2,0.0,0.019058934184797406,0.02088998,8.578871
v2_w2,201,3,0.0,0.011955149625009282,0.02139218,20.49374
v2_w2,201,4,0.0,0.006262221232147719,0.01855563,42.23078
v2_w2,201,5,0.0,0.004925620652954135,0.02089415,72.75722
v2_w2,201,6,0.0,0.008539392589292344,0.0768051,121.6692
v2_w2,201,8,0.0,0.001534615479814856,0.02296207,279.7235
v2_w2,201,10,0.0,0.0011385856785723126,0.01543365,551.4592
v2_w2,201,12,0.0,0.0005445409767084973,0.02141417,861.8129
v2_w2,201,15,0.007499814361030643,0.0003217742135095666,0.01553906,999.1329
v2_w2,201,20,0.06626073612039307,0.0012375931288829485,0.01901133,999.9893
v2_w2,201,25,0.15898121333630355,0.00022276676319893073,0.01447228,998.6048
v2_w2,201,33,0.2833098190638845,0.0005940447018638153,0.02178811,999.8646
v2_w2,201,50,0.4307319125764214,0.00017326303804361277,0.01629666,999.9557
v2_w2,201,75,0.4989975495656048,0.0005692928392861563,0.01678554,999.8791
v2_w2,201,100,0.5621890547263682,0.0005197891141308383,0.01737052,999.9798
v3_w3,201,1,0.3186059750996263,0.0076978292616519395,0.0177311,993.9051
v3_w3,201,2,0.3402638548550778,0.004999876240687112,0.02091548,999.351
v3_w3,201,3,0.35558525779064876,0.0034900126234499148,0.02182315,987.9592
v3_w3,201,4,0.36707012202668254,0.0021286601816786713,0.01816794,996.4368
v3_w3,201,5,0.378134204598896,0.001658374792703151,0.02072045,998.4603
v3_w3,201,6,0.38966857256008514,0.003985049875003094,0.07314564,992.5973
v3_w3,201,8,0.40818296576817403,0.0006930521521744511,0.02034616,992.8543
v3_w3,201,10,0.4273409074032821,0.0003960298012425435,0.01543365,998.8954
v3_w3,201,12,0.4450384891463083,0.0004207816638202025,0.03483356,984.8804
v3_w3,201,15,0.4688002772208608,0.00014851117546595382,0.01568939,966.7149
v3_w3,201,20,0.5043687037449568,0.0003217742135095666,0.01940982,962.4159
v3_w3,201,25,0.5283037548575531,0.00014851117546595382,0.02070019,990.616
v3_w3,201,33,0.5511992277418876,0.00017326303804361277,0.02275076,997.476
v3_w3,201,50,0.5754808049305711,0.00014851117546595382,0.02629626,968.596
v3_w3,201,75,0.5908269597287196,9.900745031063588e-05,0.01394338,974.1806
v3_w3,201,100,0.5985495408529492,7.425558773297691e-05,0.01398407,996.4545
v_v3,201,1,0.373926387960694,0.009034429840845523,0.017554,834.2585
v_v3,201,2,0.382713299175763,0.005692928392861563,0.0209053,666.8801
v_v3,201,3,0.38481720749486403,0.004331575951090319,0.02159946,451.536
v_v3,201,4,0.3845449370065097,0.0017821341055914458,0.01637827,517.9782
v_v3,201,5,0.3848914630825969,0.0022029157694116483,0.02089543,547.8642
v_v3,201,6,0.38563401895992677,0.001633622930125492,0.04873349,570.217
v_v3,201,8,0.3851142298457959,0.000841563327640405,0.02086325,609.6706
v_v3,201,10,0.3851142298457959,0.0009900745031063587,0.01543365,644.6071
v_v3,201,12,0.38536174847157245,0.0013366005791935842,0.03231373,648.5109
v_v3,201,15,0.3854112521967278,0.00044553352639786146,0.01460615,699.6408
v_v3,201,20,0.3851884854335289,0.0010395782282616767,0.01776911,722.4764
v_v3,201,25,0.38543600405930545,0.00022276676319893073,0.01686011,786.7297
v_v3,201,33,0.3853122447464171,0.00044553352639786146,0.02275076,837.0819
v_v3,201,50,0.3851884854335289,0.00012375931288829484,0.01614616,837.4112
v_v3,201,75,0.38543600405930545,0.00019801490062127175,0.01593718,857.5389
v_v3,201,100,0.3851884854335289,0.00012375931288829484,0.01719073,878.8841
w_wv,201,1,0.0,0.027969604712754635,0.0177311,1.517441
w_wv,201,2,0.0,0.01079181208385931,0.02062527,3.513888
w_wv,201,3,0.0,0.00623746936957006,0.02123741,5.025401
w_wv,201,4,0.0,0.0021534120442563303,0.01624388,5.882289
w_wv,201,5,0.0,0.0026236974332318505,0.0206084,8.6578
w_wv,201,6,0.0,0.003019727234474394,0.07931183,12.12362
w_wv,201,8,0.0,0.0004702853889755204,0.01782499,20.93015
w_wv,201,10,0.0,0.00029702235093190764,0.01543365,28.79161
w_wv,201,12,0.0,0.00022276676319893073,0.02105904,42.38825
w_wv,201,15,0.0,0.0003712779386648845,0.01959969,60.23643
w_wv,201,20,0.0,0.00022276676319893073,0.01656595,109.0987
w_wv,201,25,0.0,0.00012375931288829484,0.02070019,158.8014
w_wv,201,33,0.0,9.900745031063588e-05,0.02275076,228.777
w_wv,201,50,2.4751862577665484e-05,7.425558773297691e-05,0.01692753,385.6657
w_wv,201,75,0.001584119204970147,4.950372515531794e-05,0.01679633,437.817
w_wv,201,100,0.002722704883542537,2.475186257765897e-05,0.0175762,616.4643
wv_ww,201,1,0.0,0.08942847949308186,0.01772246,0.5995217
