plane,p_index_a,p_index_b,rank_decorrelation,basin_k1,basin_k100,basin_shrink,f_blow_k1,f_blow_k100,dyn_range_decades_k1,dyn_range_decades_k100,selected
v_v3,5,10,1.2214318641614175,0.009406073636119323,0.0002687449610319806,35.00000000000001,0.375974200483741,0.38968019349637195,4.340661174240146,3.674234482633558,true
v_v2,5,8,0.5410665659760867,0.017737167428110722,0.0016124697661918839,11.0,0.0,0.0,2.3513028502096107,3.0116006121770624,false
v3_v2,10,8,0.5888728002598258,0.01263101316850309,0.002149959688255845,5.875,0.3367374361730717,0.34426229508196726,4.37558102314747,4.575461859810734,false
w_v,2,5,0.7974210396713093,0.012899758129535071,0.0010749798441279225,12.0,0.0,0.0,2.094968026866633,3.015662676289462,false
c_w,1,2,0.7988278192247105,0.01263101316850309,0.0002687449610319806,47.0,0.0,0.0,2.19738414163446,3.131230746027453,false
wv_ww,15,12,0.4613098758605132,0.08868583714055361,0.0002687449610319806,330.0,0.0,0.28433216877183554,1.5290692383254454,4.7399895340299505,true
v_wv,5,15,0.8424017529544698,0.02123085192152647,0.0002687449610319806,79.00000000000001,0.0,0.0,2.1606919800717876,4.374046720998483,false
w_wv,2,15,0.7802054429240219,0.027680730986294005,0.0002687449610319806,103.0,0.0,0.003224939532383786,1.932376043330536,4.54498287800276,true
v3_w3,10,20,0.8683850949462611,0.007524858908895459,0.0002687449610319806,28.000000000000004,0.3206127385111529,0.6025262026337006,4.706488729975936,4.312370422673894,true
v3_vw,10,6,0.9144560414774345,0.01639344262295082,0.0008062348830959419,20.333333333333336,0.320075248589089,0.35098091910776674,4.554568757805109,4.594500024937797,false
c_wc,1,11,0.6245991990402342,0.03708680462241333,0.0002687449610319806,138.0,0.0,0.0,2.148718878751481,2.8170370011686727,false
v2_w2,8,18,0.7743257585739989,0.031174415479709755,0.0016124697661918839,19.333333333333332,0.0,0.5675893576995431,2.173325763584334,4.754106820803553,true
vw_v2w,6,9,0.6804633038986148,0.03574307981725343,0.0008062348830959419,44.333333333333336,0.0,0.3464122547702231,2.291811710704125,3.6716717392619587,false
v_w3,5,4,0.7551428235490389,0.018812147272238646,0.0002687449610319806,70.00000000000001,0.0,0.12577264176296699,2.0446788574084094,3.217203226198424,false
w_w3,2,4,0.6312750020611773,0.08062348830959419,0.0005374899220639613,150.0,0.0,0.14673474872346148,1.9320978185296835,3.467094632063407,false
v2_v2w,8,9,0.7304529257084509,0.035474334856221444,0.0018812147272238647,18.857142857142854,0.0,0.2875571083042193,2.503727782423696,3.6992730225600514,false
