window_size,dv0,J
1,-0.5,0.012532903341888607
1,-0.475,0.012291566708225244
1,-0.45,0.012062606312185635
1,-0.425,0.01184602215376979
1,-0.4,0.011641814232977712
1,-0.375,0.011449982549809395
1,-0.35,0.011270527104264846
1,-0.325,0.011103447896344055
1,-0.3,0.01094874492604702
1,-0.275,0.010806418193373754
1,-0.25,0.01067646769832425
1,-0.225,0.010558893440898508
1,-0.2,0.01045369542109653
1,-0.175,0.01036087363891831
1,-0.15,0.010280428094363853
1,-0.125,0.01021235878743316
1,-0.1,0.010156665718126229
1,-0.075,0.01011334888644306
1,-0.05,0.010082408292383655
1,-0.025,0.010063843935948011
1,0.0,0.01005765581713613
1,0.025,0.010063843935948011
1,0.05,0.010082408292383655
1,0.075,0.01011334888644306
1,0.1,0.010156665718126229
1,0.125,0.01021235878743316
1,0.15,0.010280428094363853
1,0.175,0.01036087363891831
1,0.2,0.010453695421096526
1,0.225,0.010558893440898508
1,0.25,0.01067646769832425
1,0.275,0.010806418193373754
1,0.3,0.010948744926047022
1,0.325,0.011103447896344052
1,0.35,0.011270527104264846
1,0.375,0.011449982549809395
1,0.4,0.011641814232977712
1,0.425,0.01184602215376979
1,0.45,0.012062606312185633
1,0.475,0.012291566708225244
1,0.5,0.012532903341888607
10,-0.5,0.01023545732385118
10,-0.475,0.00999412069018781
10,-0.45,0.009765160294148204
10,-0.425,0.009548576135732359
10,-0.4,0.009344368214940281
10,-0.375,0.009152536531771966
10,-0.35,0.008973081086227413
10,-0.325,0.008806001878306623
10,-0.3,0.00865129890800959
10,-0.275,0.008508972175336322
10,-0.25,0.008379021680286819
10,-0.225,0.008261447422861076
10,-0.2,0.008156249403059096
10,-0.175,0.008063427620880876
10,-0.15,0.00798298207632642
10,-0.125,0.007914912769395727
10,-0.1,0.007859219700088798
10,-0.075,0.00781590286840563
10,-0.05,0.007784962274346224
10,-0.025,0.00776639791791058
10,0.0,0.007760209799098699
10,0.025,0.00776639791791058
10,0.05,0.007784962274346224
10,0.075,0.00781590286840563
10,0.1,0.007859219700088798
10,0.125,0.007914912769395727
10,0.15,0.00798298207632642
10,0.175,0.008063427620880878
10,0.2,0.008156249403059094
10,0.225,0.008261447422861076
10,0.25,0.008379021680286819
10,0.275,0.008508972175336322
10,0.3,0.008651298908009591
10,0.325,0.008806001878306621
10,0.35,0.008973081086227413
10,0.375,0.009152536531771966
10,0.4,0.009344368214940281
10,0.425,0.009548576135732362
10,0.45,0.009765160294148202
10,0.475,0.00999412069018781
10,0.5,0.01023545732385118
100,-0.5,0.01237800652706507
100,-0.475,0.012136669893401711
100,-0.45,0.011907709497362107
100,-0.425,0.011691125338946262
100,-0.4,0.011486917418154184
100,-0.375,0.01129508573498587
100,-0.35,0.011115630289441318
100,-0.325,0.010948551081520526
100,-0.3,0.010793848111223494
100,-0.275,0.010651521378550225
100,-0.25,0.010521570883500723
100,-0.225,0.01040399662607498
100,-0.2,0.010298798606272998
100,-0.175,0.01020597682409478
100,-0.15,0.010125531279540325
100,-0.125,0.01005746197260963
100,-0.1,0.0100017689033027
100,-0.075,0.009958452071619533
100,-0.05,0.009927511477560127
100,-0.025,0.009908947121124483
100,0.0,0.009902759002312602
100,0.025,0.009908947121124483
100,0.05,0.009927511477560127
100,0.075,0.009958452071619533
100,0.1,0.0100017689033027
100,0.125,0.01005746197260963
100,0.15,0.010125531279540325
100,0.175,0.01020597682409478
100,0.2,0.010298798606272997
100,0.225,0.01040399662607498
100,0.25,0.010521570883500723
100,0.275,0.010651521378550225
100,0.3,0.010793848111223494
100,0.325,0.010948551081520524
100,0.35,0.011115630289441318
100,0.375,0.01129508573498587
100,0.4,0.011486917418154184
100,0.425,0.011691125338946264
100,0.45,0.011907709497362104
100,0.475,0.012136669893401711
100,0.5,0.01237800652706507
