system,arm,optimizer,window_size,t,x1,x2,x3
lorenz,propagate,bfgs,1,0.0,-12.512502589657043,-20.7335027479362,20.68630257871527
lorenz,propagate,bfgs,1,0.002,-12.651173383041263,-20.870883215656043,21.11190995193462
lorenz,propagate,bfgs,1,0.004,-12.791046383579687,-20.99885701153633,21.544275958560704
lorenz,propagate,bfgs,1,0.006,-12.93199678292991,-21.117028055102406,21.98321886888029
lorenz,propagate,bfgs,1,0.008,-13.073889431522707,-21.2249975687115,22.428534594683683
lorenz,propagate,bfgs,1,0.01,-13.216578466812674,-21.322365306226917,22.879995734617886
lorenz,propagate,bfgs,1,0.012,-13.359906970362259,-21.40873089998615,23.337350658788857
lorenz,propagate,bfgs,1,0.014,-13.503706659782825,-21.483695328342623,23.80032264400626
lorenz,propagate,bfgs,1,0.016,-13.647797621933272,-21.54686250504217,24.268609071950333
lorenz,propagate,bfgs,1,0.018000000000000002,-13.791988094115622,-21.59784099051487,24.74188070337853
lorenz,propagate,bfgs,1,0.020000000000000004,-13.936074300295822,-21.636245823815955,25.21978104225656
lorenz,propagate,bfgs,1,0.022000000000000006,-14.079840349603552,-21.661700472435314,25.701925804369658
lorenz,propagate,bfgs,1,0.024000000000000007,-14.223058204513512,-21.67383889551558,26.187902505518153
lorenz,propagate,bfgs,1,0.02600000000000001,-14.365487726167686,-21.672307714180615,26.677270184797845
lorenz,propagate,bfgs,1,0.02800000000000001,-14.506876804248982,-21.65676848069066,27.16955927868038
lorenz,propagate,bfgs,1,0.030000000000000013,-14.646961578646609,-21.626900036023883,27.6642716616109
lorenz,propagate,bfgs,1,0.032000000000000015,-14.785466759848457,-21.582400943259046,28.160880868599076
lorenz,propagate,bfgs,1,0.034000000000000016,-14.922106054542537,-21.522991981828746,28.65883251476584
lorenz,propagate,bfgs,1,0.03600000000000002,-15.056582702296467,-21.44841868536232,29.157544925993758
lorenz,propagate,bfgs,1,0.03800000000000002,-15.188590128401879,-21.358453903482786,29.656409993690055
lorenz,propagate,bfgs,1,0.04000000000000002,-15.317812717012693,-21.25290036561093,30.154794265187714
lorenz,propagate,bfgs,1,0.04200000000000002,-15.443926707569466,-21.131593222614878,30.652040279467595
lorenz,propagate,bfgs,1,0.044000000000000025,-15.5666012161874,-20.994402540083414,31.14746815567652
lorenz,propagate,bfgs,1,0.04600000000000003,-15.685499382198856,-20.841235715158405,31.640377439343677
lorenz,propagate,bfgs,1,0.04800000000000003,-15.80027963839319,-20.672039787300847,32.130049208271856
lorenz,propagate,bfgs,1,0.05000000000000003,-15.910597101704226,-20.486803612152393,32.61574843682271
lorenz,propagate,bfgs,1,0.05200000000000003,-16.01610507918086,-20.285559866854985,33.0967266137591
lorenz,propagate,bfgs,1,0.054000000000000034,-16.116456682068176,-20.068386854867377,33.572224604998624
lorenz,propagate,bfgs,1,0.056000000000000036,-16.211306538758922,-19.835410078525655,34.04147574862698
lorenz,propagate,bfgs,1,0.05800000000000004,-16.300312595288602,-19.58680354838363,34.503709165387654
lorenz,propagate,bfgs,1,0.06000000000000004,-16.383137989986253,-19.322790799776485,34.95815326368478
lorenz,propagate,bfgs,1,0.06200000000000004,-16.45945298690622,-19.043645589101786,35.40403941399891
lorenz,propagate,bfgs,1,0.06400000000000004,-16.528936950805054,-18.749692245015886,35.84060576361742
lorenz,propagate,bfgs,1,0.06600000000000004,-16.59128034474533,-18.441305653092606,36.26710115882499
lorenz,propagate,bfgs,1,0.06800000000000005,-16.646186729956995,-18.11891085645887,36.682789138289394
lorenz,propagate,bfgs,1,0.07000000000000005,-16.693374746417426,-17.782982259462354,37.0869519584171
lorenz,propagate,bfgs,1,0.07200000000000005,-16.732580051770153,-17.43404242647327,37.47889460904131
