system,arm,seed,optimizer,window_size,index,value
lorenz,propagate,1,nm,1,1,-12.600442642880319
lorenz,propagate,1,nm,1,2,-20.723330310176227
lorenz,propagate,1,nm,1,3,20.744107425899713
lorenz,propagate,1,nm,1,4,-0.09906268723679018
lorenz,propagate,1,nm,1,5,0.08505089554896147
lorenz,propagate,1,nm,1,6,0.0015959529814040807
lorenz,propagate,1,nm,1,7,-1.3416736707458745
lorenz,propagate,1,nm,1,8,0.2983916764666189
lorenz,propagate,1,nm,1,9,0.025918641295636397
lorenz,propagate,1,nm,1,10,-0.48680880394406106
lorenz,propagate,1,nm,1,11,-0.2101535851220854
lorenz,propagate,1,nm,1,12,0.10187205187887081
lorenz,propagate,1,nm,1,13,-0.13851613317541075
lorenz,propagate,1,nm,1,14,0.5519491061082248
lorenz,propagate,1,nm,1,15,2.2448711524798637
lorenz,propagate,1,nm,1,16,-0.051208795447536794
lorenz,propagate,1,nm,1,17,12.283479395257412
lorenz,propagate,1,nm,1,18,-0.3549302742941001
lorenz,propagate,1,nm,1,19,-0.03137729144155338
lorenz,propagate,1,nm,1,20,2.06848046648082
lorenz,propagate,1,nm,1,21,-0.305485932793305
lorenz,propagate,1,nm,1,22,0.05846095478259218
lorenz,propagate,1,nm,1,23,-0.10041682502696725
lorenz,propagate,1,nm,1,24,-5.427116216294649
lorenz,propagate,1,nm,1,25,0.32952238361882824
lorenz,propagate,1,nm,1,26,-0.11328035319624036
lorenz,propagate,1,nm,1,27,-4.040096783876914
lorenz,propagate,1,nm,1,28,0.13522484114429706
lorenz,propagate,1,nm,1,29,0.1286506879297439
lorenz,propagate,1,nm,1,30,-0.12662670230744452
lorenz,propagate,1,nm,1,31,-0.005092681871282209
lorenz,propagate,1,nm,1,32,0.5518377549048337
lorenz,propagate,1,nm,1,33,0.5090948386877785
lorenz,propagate,1,nm,2,1,-12.476715456815125
lorenz,propagate,1,nm,2,2,-20.71368162816981
lorenz,propagate,1,nm,2,3,20.70540286022538
lorenz,propagate,1,nm,2,4,-0.28880882745931263
lorenz,propagate,1,nm,2,5,-0.01759763680113967
lorenz,propagate,1,nm,2,6,0.0060518792768976745
lorenz,propagate,1,nm,2,7,0.3263923338521448
lorenz,propagate,1,nm,2,8,0.31028081980826017
lorenz,propagate,1,nm,2,9,0.018786335547020555
lorenz,propagate,1,nm,2,10,1.3486148467045496
lorenz,propagate,1,nm,2,11,-0.33942649084559934
lorenz,propagate,1,nm,2,12,0.12535655298159903
lorenz,propagate,1,nm,2,13,-0.19724839038115408
lorenz,propagate,1,nm,2,14,2.3105416978430644
lorenz,propagate,1,nm,2,15,1.1813786809904068
lorenz,propagate,1,nm,2,16,-0.04898297770583701
lorenz,propagate,1,nm,2,17,11.445158864441336
lorenz,propagate,1,nm,2,18,-0.37055738266486205
lorenz,propagate,1,nm,2,19,-0.1270618485510913
lorenz,propagate,1,nm,2,20,9.346635359957702
lorenz,propagate,1,nm,2,21,-0.47474531250071705
lorenz,propagate,1,nm,2,22,-0.01723864208611405
lorenz,propagate,1,nm,2,23,0.27322480481432887
lorenz,propagate,1,nm,2,24,-1.8470720337135766
lorenz,propagate,1,nm,2,25,-0.17465903739762104
lorenz,propagate,1,nm,2,26,-0.10521079628455232
lorenz,propagate,1,nm,2,27,-1.4191573004682805
lorenz,propagate,1,nm,2,28,0.042376386648125215
lorenz,propagate,1,nm,2,29,0.08384974960582686
lorenz,propagate,1,nm,2,30,-0.9773024063033253
lorenz,propagate,1,nm,2,31,0.023993704530244808
lorenz,propagate,1,nm,2,32,0.5090870020850845
lorenz,propagate,1,nm,2,33,0.6259033283851776
lorenz,propagate,1,nm,5,1,-12.48401483004845
lorenz,propagate,1,nm,5,2,-20.759513464040605
lorenz,propagate,1,nm,5,3,20.72215889838014
lorenz,propagate,1,nm,5,4,-0.7342556121787476
lorenz,propagate,1,nm,5,5,-0.13687863357389934
lorenz,propagate,1,nm,5,6,0.01015331723296362
lorenz,propagate,1,nm,5,7,0.9683501132601324
lorenz,propagate,1,nm,5,8,0.28961934366002995
lorenz,propagate,1,nm,5,9,0.020449184805464052
lorenz,propagate,1,nm,5,10,0.19601207870609555
lorenz,propagate,1,nm,5,11,-0.30057675217383006
lorenz,propagate,1,nm,5,12,0.11709701327206049
lorenz,propagate,1,nm,5,13,-0.18910085568765841
lorenz,propagate,1,nm,5,14,-12.303404188021723
lorenz,propagate,1,nm,5,15,1.5548718443241318
lorenz,propagate,1,nm,5,16,-0.04383689715190191
lorenz,propagate,1,nm,5,17,9.085545369243164
lorenz,propagate,1,nm,5,18,-0.324464936034504
lorenz,propagate,1,nm,5,19,0.03666637687849729
lorenz,propagate,1,nm,5,20,15.140653286130673
lorenz,propagate,1,nm,5,21,-0.6159255337969762
lorenz,propagate,1,nm,5,22,-0.28286828241740114
lorenz,propagate,1,nm,5,23,0.30996062848373324
lorenz,propagate,1,nm,5,24,-7.528060985053285
lorenz,propagate,1,nm,5,25,-0.9579683430845125
lorenz,propagate,1,nm,5,26,-0.0634603719703037
lorenz,propagate,1,nm,5,27,-0.3424793494306755
lorenz,propagate,1,nm,5,28,0.005037510170561929
lorenz,propagate,1,nm,5,29,0.18995097235579841
lorenz,propagate,1,nm,5,30,-1.483505239093997
lorenz,propagate,1,nm,5,31,0.051854365413157646
lorenz,propagate,1,nm,5,32,0.4697606757305382
lorenz,propagate,1,nm,5,33,0.4479739655036604
lorenz,propagate,1,nm,10,1,-12.514993699278158
lorenz,propagate,1,nm,10,2,-20.758906651039958
lorenz,propagate,1,nm,10,3,20.798058529113394
lorenz,propagate,1,nm,10,4,0.01418187572630399
lorenz,propagate,1,nm,10,5,-0.15179038176078458
lorenz,propagate,1,nm,10,6,0.008714190250098902
lorenz,propagate,1,nm,10,7,2.270541195008922
lorenz,propagate,1,nm,10,8,0.2457285819240768
lorenz,propagate,1,nm,10,9,0.018839990802492525
lorenz,propagate,1,nm,10,10,-0.04033650377898121
lorenz,propagate,1,nm,10,11,-0.2962674110097626
lorenz,propagate,1,nm,10,12,0.0893186191025983
lorenz,propagate,1,nm,10,13,-0.15061432040052372
lorenz,propagate,1,nm,10,14,-9.151828518732428
lorenz,propagate,1,nm,10,15,1.4254058476940445
lorenz,propagate,1,nm,10,16,-0.04468918234844397
lorenz,propagate,1,nm,10,17,7.41687557960937
lorenz,propagate,1,nm,10,18,-0.2820780083090961
lorenz,propagate,1,nm,10,19,0.018482927043063396
lorenz,propagate,1,nm,10,20,17.537603597032515
lorenz,propagate,1,nm,10,21,-0.680010328886823
lorenz,propagate,1,nm,10,22,-0.269475312753289
lorenz,propagate,1,nm,10,23,0.3352607631255828
lorenz,propagate,1,nm,10,24,-0.8413000370561615
lorenz,propagate,1,nm,10,25,-1.20966496584765
lorenz,propagate,1,nm,10,26,-0.06639950470485576
lorenz,propagate,1,nm,10,27,0.326534465978671
lorenz,propagate,1,nm,10,28,-0.005528602707202716
lorenz,propagate,1,nm,10,29,0.12278150251487517
lorenz,propagate,1,nm,10,30,-2.5065275257514013
lorenz,propagate,1,nm,10,31,0.07014394928970695
lorenz,propagate,1,nm,10,32,0.46605812876293745
lorenz,propagate,1,nm,10,33,0.5612146884901118
lorenz,propagate,1,nm,25,1,-12.542661911677616
lorenz,propagate,1,nm,25,2,-20.769804031282142
lorenz,propagate,1,nm,25,3,20.66024865382402
lorenz,propagate,1,nm,25,4,0.051226421588972684
lorenz,propagate,1,nm,25,5,-0.1507587277418436
lorenz,propagate,1,nm,25,6,0.009121842816519843
lorenz,propagate,1,nm,25,7,2.537927992590505
lorenz,propagate,1,nm,25,8,0.2329348642415053
lorenz,propagate,1,nm,25,9,-0.016771522161131685
lorenz,propagate,1,nm,25,10,-0.03955718319560599
lorenz,propagate,1,nm,25,11,-0.29502972191194626
lorenz,propagate,1,nm,25,12,0.12970838267723556
lorenz,propagate,1,nm,25,13,-0.16454742140731582
lorenz,propagate,1,nm,25,14,-6.586043642601442
lorenz,propagate,1,nm,25,15,1.3609954550631151
lorenz,propagate,1,nm,25,16,-0.04660619262340682
lorenz,propagate,1,nm,25,17,6.749759869564976
lorenz,propagate,1,nm,25,18,-0.24598679553527109
lorenz,propagate,1,nm,25,19,-0.010530763600074369
lorenz,propagate,1,nm,25,20,17.346926756442876
lorenz,propagate,1,nm,25,21,-0.6881244605822111
lorenz,propagate,1,nm,25,22,-0.22881825067163855
lorenz,propagate,1,nm,25,23,0.32520708174814467
lorenz,propagate,1,nm,25,24,-0.8677532820308432
lorenz,propagate,1,nm,25,25,-1.4007283932735917
lorenz,propagate,1,nm,25,26,-0.0601480729143272
lorenz,propagate,1,nm,25,27,0.3201174082673289
lorenz,propagate,1,nm,25,28,-0.0035884228358714076
lorenz,propagate,1,nm,25,29,0.20466449458003955
