seed,kappa_min,kappa_eval,J
2,1,1,0.03358721148132277
2,1,2,0.045710385326187174
2,1,3,0.07200195845514519
2,1,4,0.08162561336938563
2,1,5,0.1059194416059861
2,1,6,0.1036167159803478
2,1,8,0.12824875789691656
2,1,10,0.3887042952356354
2,1,12,0.8584784283150703
2,1,15,0.8727561510916597
2,1,20,2.7880967707655073
2,1,25,1.3867510777500882
2,1,33,2.5943996436426833
2,1,50,3.1548147533520083
2,1,75,5.271201042380813
2,1,100,6.743759481895561
2,2,1,0.018768101814478563
2,2,2,0.02209999139116958
2,2,3,0.025460030392256184
2,2,4,0.020265362199041563
2,2,5,0.02558001420793371
2,2,6,0.09140972507135398
2,2,8,0.017922127126773615
2,2,10,0.021622307024879876
2,2,12,0.06582957125562096
2,2,15,0.025808448847151895
2,2,20,0.022272516198927197
2,2,25,0.029047630364604792
2,2,33,0.04154693743045865
2,2,50,0.03340456125066203
2,2,75,0.037160912973381366
2,2,100,0.038510672983583585
2,3,1,0.018874869374730506
2,3,2,0.024383964474953317
2,3,3,0.01869971243454942
2,3,4,0.024641933198712954
2,3,5,0.03635939597720056
2,3,6,0.04650821043477318
2,3,8,0.06941482864138374
2,3,10,0.01968647709729311
2,3,12,0.07028493625027171
2,3,15,0.07840666348151842
2,3,20,0.021520390392330856
2,3,25,0.04322104584284433
2,3,33,0.0377753250593833
2,3,50,0.07880859539124944
2,3,75,0.10547271695753259
2,3,100,0.1577195035914322
2,4,1,0.018655477344098857
2,4,2,0.02258735719006131
2,4,3,0.024198364614101898
2,4,4,0.01597891935695275
2,4,5,0.024026809654817117
2,4,6,0.06128540565005437
2,4,8,0.022819861588915344
2,4,10,0.022370065326822737
2,4,12,0.030103708539011134
2,4,15,0.043155766846791094
2,4,20,0.02072683066226444
2,4,25,0.035304506154990714
2,4,33,0.031019875917207645
2,4,50,0.06957984761716925
2,4,75,0.026586445814180088
2,4,100,0.03637200161656361
2,5,1,0.019507760161885407
2,5,2,0.02316096642142488
2,5,3,0.02817846227507144
2,5,4,0.018295811826528813
2,5,5,0.019516080251137262
2,5,6,0.11317987270134314
2,5,8,0.023624514756349666
2,5,10,0.016488401076163377
2,5,12,0.06501870614580765
2,5,15,0.03415485027993487
2,5,20,0.059632989212881723
2,5,25,0.08116256728951324
2,5,33,0.15679332476928906
2,5,50,0.14595410489957342
2,5,75,0.41995012946291554
2,5,100,0.6589212959861692
2,6,1,0.02271698028880656
2,6,2,0.03881604260394577
2,6,3,0.03296940868803569
2,6,4,0.037860069104260013
2,6,5,0.06580367496801698
2,6,6,0.021165825622676028
2,6,8,0.11901568979230918
2,6,10,0.040658955407314
2,6,12,0.031678301104625724
2,6,15,0.14339467911399334
2,6,20,0.045356761183962674
2,6,25,0.8180783511566141
2,6,33,0.9025756293221285
2,6,50,2.4568159638521117
2,6,75,2.2700954347531583
2,6,100,3.890447844652644
2,8,1,0.018941317987488895
2,8,2,0.022825935768324677
2,8,3,0.02440756871664744
2,8,4,0.016778959482598166
2,8,5,0.02383981260453561
2,8,6,0.08596229980115185
2,8,8,0.016569641191403348
2,8,10,0.022114416129207594
2,8,12,0.04205532283691918
2,8,15,0.030714100495059363
2,8,20,0.05607306333105491
2,8,25,0.029144113119495038
2,8,33,0.06792798503884254
2,8,50,0.041547204564174475
2,8,75,0.03918042939792418
2,8,100,0.045954038998790095
2,10,1,0.018911825652034
2,10,2,0.023915459559620593
2,10,3,0.02031767327775526
2,10,4,0.01898323248691223
2,10,5,0.026032282423400586
2,10,6,0.0692112578877142
2,10,8,0.0307473394333707
2,10,10,0.013984382421377724
2,10,12,0.06913715943727156
2,10,15,0.04539542928597288
2,10,20,0.025333294518988404
2,10,25,0.03420575860877032
2,10,33,0.05186711199958292
2,10,50,0.06390983400183686
2,10,75,0.22014776414058054
2,10,100,0.38641225941931
2,12,1,0.01899671649341681
2,12,2,0.024308990255305758
2,12,3,0.029837899004490034
2,12,4,0.017032347421330887
2,12,5,0.02193166304367571
2,12,6,0.07682553245898537
2,12,8,0.01880178997896644
2,12,10,0.019981199082476073
2,12,12,0.01539635484065379
2,12,15,0.028919294298738955
2,12,20,0.02041629769112941
2,12,25,0.08172794639104265
2,12,33,0.05039826340516566
2,12,50,0.16566598636417812
2,12,75,0.03481742286603151
2,12,100,0.047854058222104194
2,15,1,0.018814250332989446
2,15,2,0.02265630212861408
2,15,3,0.022513848632059505
2,15,4,0.021011884845095474
2,15,5,0.024710015644674038
2,15,6,0.12378604809475063
2,15,8,0.03597194000014865
2,15,10,0.01604309288127033
2,15,12,0.03741064454643203
2,15,15,0.014290534446698842
2,15,20,0.021829140320889957
2,15,25,0.02748252165872644
2,15,33,0.02239065624504285
2,15,50,0.051382827181502305
2,15,75,0.030752049627236232
2,15,100,0.04188201578174572
2,20,1,0.01882503769775766
2,20,2,0.024222808600367525
2,20,3,0.02282247948287912
2,20,4,0.017787290460788356
2,20,5,0.030037491864889153
2,20,6,0.044635563589128596
2,20,8,0.04116172235730321
2,20,10,0.015275672020973421
2,20,12,0.05504540013011958
2,20,15,0.06337888903729257
2,20,20,0.01418615494027249
2,20,25,0.03976549075305341
2,20,33,0.03387836141831986
2,20,50,0.055540088841267
2,20,75,0.016488292540323836
2,20,100,0.01798215520610852
2,25,1,0.018522018393115333
2,25,2,0.022799678445528188
2,25,3,0.022052628681469698
2,25,4,0.017210017623276286
2,25,5,0.02667322329305489
2,25,6,0.05555421594441562
2,25,8,0.031091569417287593
2,25,10,0.015893490936460003
2,25,12,0.08077093696829747
2,25,15,0.0539734842989558
2,25,20,0.020062233832954822
2,25,25,0.013744823137691629
2,25,33,0.03275716738066875
2,25,50,0.014996764854384281
2,25,75,0.014847233214278301
2,25,100,0.015155327977935087
2,33,1,0.01933408579745144
2,33,2,0.024708993005136442
2,33,3,0.02127823733036083
2,33,4,0.024072397475268507
2,33,5,0.030658512623053576
2,33,6,0.10773299710726884
2,33,8,0.03962437380176105
2,33,10,0.017227589456916687
2,33,12,0.05841358802451214
2,33,15,0.022785341860094746
2,33,20,0.01780412168529098
2,33,25,0.027782594732659545
2,33,33,0.014119454442253591
2,33,50,0.024296134784634344
2,33,75,0.020581332595852216
2,33,100,0.02964377256370902
2,50,1,0.01843176441971192
2,50,2,0.022319386315196116
2,50,3,0.022229830750914274
2,50,4,0.01704606420184448
2,50,5,0.025234464313147846
2,50,6,0.06338843226335672
2,50,8,0.023634261622107293
2,50,10,0.016075174120797037
2,50,12,0.07075145746556434
2,50,15,0.04449597385474613
2,50,20,0.01795519826224051
2,50,25,0.014557981902583733
2,50,33,0.028281508722888073
2,50,50,0.013654623585311285
2,50,75,0.013882609546281278
2,50,100,0.014432438166770475
2,75,1,0.01821316099791017
2,75,2,0.021834384449874143
