seed,kappa_from,kappa_to,s,J_next,J_prev
1,1,2,0.0,1000.0,1000.0
1,1,2,0.05,1000.0,1000.0
1,1,2,0.1,1000.0,1000.0
1,1,2,0.15,1000.0,1000.0
1,1,2,0.2,1000.0,1000.0
1,1,2,0.25,1000.0,1000.0
1,1,2,0.3,1000.0,1000.0
1,1,2,0.35,1000.0,1000.0
1,1,2,0.4,1000.0,1000.0
1,1,2,0.45,1000.0,1000.0
1,1,2,0.5,1000.0,1000.0
1,1,2,0.55,1000.0,1000.0
1,1,2,0.6,1000.0,1000.0
1,1,2,0.65,1000.0,1000.0
1,1,2,0.7,1000.0,1000.0
1,1,2,0.75,1000.0,1000.0
1,1,2,0.8,1000.0,1000.0
1,1,2,0.85,1000.0,1000.0
1,1,2,0.9,1000.0,1000.0
1,1,2,0.95,1000.0,1000.0
1,1,2,1.0,1000.0,1000.0
1,2,3,0.0,1000.0,1000.0
1,2,3,0.05,1000.0,1000.0
1,2,3,0.1,1000.0,1000.0
1,2,3,0.15,1000.0,1000.0
1,2,3,0.2,1000.0,1000.0
1,2,3,0.25,1000.0,1000.0
1,2,3,0.3,1000.0,1000.0
1,2,3,0.35,1000.0,1000.0
1,2,3,0.4,1000.0,1000.0
1,2,3,0.45,1000.0,1000.0
1,2,3,0.5,1000.0,1000.0
1,2,3,0.55,1000.0,1000.0
1,2,3,0.6,1000.0,1000.0
1,2,3,0.65,1000.0,1000.0
1,2,3,0.7,1000.0,1000.0
1,2,3,0.75,1000.0,1000.0
1,2,3,0.8,1000.0,1000.0
1,2,3,0.85,1000.0,1000.0
1,2,3,0.9,1000.0,1000.0
1,2,3,0.95,1000.0,1000.0
1,2,3,1.0,1000.0,1000.0
1,3,4,0.0,1000.0,1000.0
1,3,4,0.05,1000.0,1000.0
1,3,4,0.1,1000.0,1000.0
1,3,4,0.15,1000.0,1000.0
1,3,4,0.2,1000.0,1000.0
1,3,4,0.25,1000.0,1000.0
1,3,4,0.3,1000.0,1000.0
1,3,4,0.35,1000.0,1000.0
1,3,4,0.4,1000.0,1000.0
1,3,4,0.45,1000.0,1000.0
1,3,4,0.5,1000.0,1000.0
1,3,4,0.55,1000.0,1000.0
1,3,4,0.6,1000.0,1000.0
1,3,4,0.65,1000.0,1000.0
1,3,4,0.7,1000.0,1000.0
1,3,4,0.75,1000.0,1000.0
1,3,4,0.8,1000.0,1000.0
1,3,4,0.85,1000.0,1000.0
1,3,4,0.9,1000.0,1000.0
