param,experiment,stride,n_removed,DeltaT2,DeltaT1,J_fine,J_coarse,absdiff
true,stride,2,50,1.0,2.0,0.01005765581713613,0.013242040382496987,0.0031843845653608573
true,stride,3,66,1.0,3.0,0.01005765581713613,0.014149706204181399,0.004092050387045269
true,stride,4,75,1.0,4.0,0.01005765581713613,0.011071861147002886,0.001014205329866756
true,stride,5,80,1.0,5.0,0.01005765581713613,0.013221988260868206,0.003164332443732076
true,stride,10,90,1.0,10.0,0.01005765581713613,0.007760209799098697,0.0022974460180374334
true,stride,20,95,1.0,20.0,0.01005765581713613,0.011736373287913349,0.001678717470777219
true,stride,50,98,1.0,50.0,0.01005765581713613,0.01961226733791485,0.009554611520778722
true,block,0,1,1.0,2.0,0.01005765581713613,0.010041820535561699,1.583528157443094e-5
true,block,0,2,2.0,3.0,0.01005765581713613,0.010033293178160183,2.43626389759468e-5
true,block,0,3,3.0,4.0,0.01005765581713613,0.010012557331239144,4.50984858969862e-5
true,block,0,5,5.0,6.0,0.01005765581713613,0.009835655905385984,0.00022199991175014637
true,block,0,8,8.0,9.0,0.01005765581713613,0.009596401091070173,0.00046125472606595684
true,block,0,12,12.0,13.0,0.01005765581713613,0.009596582354252974,0.0004610734628831565
true,block,0,20,20.0,21.0,0.01005765581713613,0.009549348276087295,0.0005083075410488355
near,stride,2,50,1.0,2.0,0.012808454836928215,0.018424381035665002,0.005615926198736788
near,stride,3,66,1.0,3.0,0.012808454836928215,0.021087973499791607,0.008279518662863392
near,stride,4,75,1.0,4.0,0.012808454836928215,0.019525210290391094,0.00671675545346288
near,stride,5,80,1.0,5.0,0.012808454836928215,0.04062585720883558,0.027817402371907368
near,stride,10,90,1.0,10.0,0.012808454836928215,0.11401862303552994,0.10121016819860172
near,stride,20,95,1.0,20.0,0.012808454836928215,0.7804512373345034,0.7676427824975752
near,stride,50,98,1.0,50.0,0.012808454836928215,1.5250080524348142,1.512199597597886
near,block,0,1,1.0,2.0,0.012808454836928215,0.012957717569807318,0.0001492627328791036
near,block,0,2,2.0,3.0,0.012808454836928215,0.013289880041873266,0.0004814252049450511
near,block,0,3,3.0,4.0,0.012808454836928215,0.013688276879509615,0.0008798220425814008
near,block,0,5,5.0,6.0,0.012808454836928215,0.03442249124120548,0.021614036404277264
near,block,0,8,8.0,9.0,0.012808454836928215,0.08085693629744692,0.0680484814605187
near,block,0,12,12.0,13.0,0.012808454836928215,0.0809382942789348,0.06812983944200658
near,block,0,20,20.0,21.0,0.012808454836928215,0.08138162730471107,0.06857317246778286
wrong,stride,2,50,1.0,2.0,0.012513077639194434,0.017055506248865756,0.0045424286096713215
wrong,stride,3,66,1.0,3.0,0.012513077639194434,0.019641191897605586,0.0071281142584111515
wrong,stride,4,75,1.0,4.0,0.012513077639194434,0.021042745061560914,0.00852966742236648
wrong,stride,5,80,1.0,5.0,0.012513077639194434,0.018841187681623434,0.006328110042428999
wrong,stride,10,90,1.0,10.0,0.012513077639194434,0.013957245585807122,0.0014441679466126872
wrong,stride,20,95,1.0,20.0,0.012513077639194434,0.2910751786957144,0.27856210105651996
wrong,stride,50,98,1.0,50.0,0.012513077639194434,0.6959571255672834,0.683444047928089
wrong,block,0,1,1.0,2.0,0.012513077639194434,0.012523745114575066,1.0667475380631355e-5
wrong,block,0,2,2.0,3.0,0.012513077639194434,0.012520547163728201,7.469524533766647e-6
wrong,block,0,3,3.0,4.0,0.012513077639194434,0.012503292294709274,9.785344485160885e-6
wrong,block,0,5,5.0,6.0,0.012513077639194434,0.012521251940986718,8.174301792283553e-6
wrong,block,0,8,8.0,9.0,0.012513077639194434,0.013028653031526389,0.0005155753923319541
wrong,block,0,12,12.0,13.0,0.012513077639194434,0.013290411909295493,0.0007773342701010589
wrong,block,0,20,20.0,21.0,0.012513077639194434,0.014813647597715451,0.0023005699585210166
