method,setting,seed,iters,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
inhouse_Tsit5_fixed_S10,S=10,1,1000,1,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.4375,24,0,true,true,1.840755564960906
inhouse_Tsit5_fixed_S10,S=10,1,1000,2,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00027489662170410156,24,0,true,true,1.840755564960906
inhouse_Tsit5_fixed_S10,S=10,1,1000,5,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026702880859375,24,0,true,true,1.840755564960906
inhouse_Tsit5_fixed_S10,S=10,1,1000,10,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026798248291015625,24,0,true,true,1.840755564960906
inhouse_Tsit5_fixed_S10,S=10,1,1000,25,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026798248291015625,24,0,true,true,1.840755564960906
inhouse_Tsit5_fixed_S10,S=10,1,1000,50,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026702880859375,24,0,true,true,1.840755564960906
inhouse_Tsit5_fixed_S10,S=10,1,1000,100,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002701282501220703,24,0,true,true,1.840755564960906
inhouse_Tsit5_fixed_S10,S=10,2,1000,1,0.043744751755447044,1.4969362116683937,0.4,0.42857142857142855,5,0.75193190574646,1274,1000,false,false,1.5229286054636488
inhouse_Tsit5_fixed_S10,S=10,2,1000,2,0.02714182082736276,0.8812278651391375,0.4,0.7142857142857143,6,0.7395639419555664,1272,1000,false,false,1.5229286054636488
inhouse_Tsit5_fixed_S10,S=10,2,1000,5,0.024920265230209723,0.7532163887988356,0.55,0.7142857142857143,5,0.7803809642791748,1343,1000,false,false,1.5229286054636488
inhouse_Tsit5_fixed_S10,S=10,2,1000,10,0.018911817593055203,0.699304633425074,0.6,0.7142857142857143,4,0.8617079257965088,1471,1000,false,false,1.5229286054636488
inhouse_Tsit5_fixed_S10,S=10,2,1000,25,0.015716058177542895,0.6837829039291183,0.6,0.7142857142857143,4,0.9375848770141602,1606,1000,false,false,1.5229286054636488
inhouse_Tsit5_fixed_S10,S=10,2,1000,50,0.015439794611464113,0.677814323072071,0.6,0.7142857142857143,4,1.042431116104126,1788,1000,false,false,1.5229286054636488
inhouse_Tsit5_fixed_S10,S=10,2,1000,100,0.015282790521496259,0.6778436718193814,0.6,0.7142857142857143,4,1.1376030445098877,1941,1000,false,false,1.5229286054636488
