exp,arm,seed,window_size,iteration,J
main,reset,1,5,0,1000.0
main,reset,1,20,0,1000.0
main,reset,1,12,0,1000.0
main,reset,1,8,0,1000.0
main,reset,1,75,0,1000.0
main,reset,1,1,0,1000.0
main,reset,1,6,0,1000.0
main,reset,1,3,0,1000.0
main,reset,1,33,0,1000.0
main,reset,1,25,0,1000.0
main,reset,1,4,0,1000.0
main,reset,1,15,0,1000.0
main,reset,1,50,0,1000.0
main,reset,1,2,0,1000.0
main,reset,1,10,0,1000.0
main,reset,1,100,0,1000.0
main,best,1,5,0,1000.0
main,best,1,20,0,1000.0
main,best,1,12,0,1000.0
main,best,1,8,0,1000.0
main,best,1,75,0,1000.0
main,best,1,1,0,1000.0
main,best,1,6,0,1000.0
main,best,1,3,0,1000.0
main,best,1,33,0,1000.0
main,best,1,25,0,1000.0
main,best,1,4,0,1000.0
main,best,1,15,0,1000.0
main,best,1,50,0,1000.0
main,best,1,2,0,1000.0
main,best,1,10,0,1000.0
main,best,1,100,0,1000.0
main,propagate,1,5,0,1000.0
main,propagate,1,20,0,1000.0
main,propagate,1,12,0,1000.0
main,propagate,1,8,0,1000.0
main,propagate,1,75,0,1000.0
main,propagate,1,1,0,1000.0
main,propagate,1,6,0,1000.0
main,propagate,1,3,0,1000.0
main,propagate,1,33,0,1000.0
main,propagate,1,25,0,1000.0
main,propagate,1,4,0,1000.0
main,propagate,1,15,0,1000.0
main,propagate,1,50,0,1000.0
main,propagate,1,2,0,1000.0
main,propagate,1,10,0,1000.0
main,propagate,1,100,0,1000.0
