exp,arm,seed,mode,optimizer,iters,gamma,S,penalty,noise,schedule,radius,n_steps,window_size,J,p_err,score,support_recall,false_positives,wall_s,f_calls,iterations,converged,blowup,seed_p_err
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,1,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.46402502059936523,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,2,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00025010108947753906,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,3,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002560615539550781,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,4,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002739429473876953,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,5,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002689361572265625,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,6,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026416778564453125,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,7,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002880096435546875,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,8,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002799034118652344,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,9,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.01371002197265625,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,10,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026798248291015625,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,11,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002651214599609375,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,12,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002639293670654297,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,13,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002658367156982422,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,14,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026416778564453125,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,15,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00026488304138183594,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,16,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002841949462890625,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,17,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002830028533935547,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,18,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00027680397033691406,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,19,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002779960632324219,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,20,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002830028533935547,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,21,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002830028533935547,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,22,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002868175506591797,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,23,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00028395652770996094,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,24,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002830028533935547,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,25,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.00029087066650390625,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,26,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002911090850830078,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,27,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002899169921875,24,0,true,true,1.840755564960906
schedule,dense,1,propagate,nm,2500,0.05,10,flat,0.05,dense,nan,44,28,1000.0,1.840755564960906,0.2,0.7142857142857143,9,0.0002880096435546875,24,0,true,true,1.840755564960906
