window_size,J_GP,J_best,J_control,perr_GP,perr_best,perr_control,score_GP,score_control,paired_diff,ci_lo,ci_hi,n_GP_better,n_plateau_GP
1,0.025693186323162448,0.025693186323162448,0.025693186323162448,0.8640831834869228,0.8640831834869228,0.8640831834869228,0.4,0.4,0.0,0.0,0.0,0,3
2,0.02081407329329475,0.02081407329329475,0.03725737865597925,0.3803281461248435,0.3803281461248435,1.3140020770003138,0.75,0.275,-0.7723512301738618,-1.1115340636249655,-0.4196078713775737,7,1
3,0.018640681145893748,0.01900410319846855,0.0595495145721409,0.3748279033071057,0.3893118126744568,1.465690929728688,0.75,0.225,-0.8679211771670858,-1.309089146013958,-0.4864775200972989,7,1
4,0.0154869820392434,0.01577390422202655,0.09718325861665035,0.3324500659613364,0.3614911105978042,1.5099463634194352,0.775,0.25,-0.9232282603547518,-1.248098988456549,-0.5651782846367008,7,1
5,0.01906119438480775,0.0188921926222713,0.1259458248058466,0.2218159338504668,0.22103921245977695,1.5428850444964404,0.775,0.2,-1.1325945720049573,-1.6541343387429028,-0.662659016288308,7,1
6,0.021140315862331248,0.0205410586335787,0.2428464626031886,0.34411981515628476,0.4522364455143657,1.716460680772075,0.55,0.2,-1.1585563493741207,-1.526381750622478,-0.7400595266718325,7,1
8,0.016103950762644398,0.01539596431516655,0.31851330908211684,0.3593318928635503,0.3964326897061555,1.590190109960123,0.675,0.275,-1.1127991666665704,-1.3602861566461355,-0.7558566948998919,7,1
10,0.014055557605458801,0.0143800288521057,0.3085736308942171,0.2995351906645577,0.33466830540010994,1.737200570926865,0.8,0.2,-1.2344927389383051,-1.6340220821804838,-0.7786721661832983,7,1
12,0.01556167980610075,0.015503509194702,0.6560500515359522,0.2780041259874681,0.3311882171218338,1.6219784404316064,0.8,0.25,-1.1625257123915114,-1.415262870342494,-0.7987750668363021,7,1
15,0.01413658434868345,0.014093564390983599,0.5398188149842533,0.33477247442625313,0.34016739330186907,1.5737751386129715,0.725,0.275,-1.1093048056624222,-1.3274410029402315,-0.7739039253194357,7,1
20,0.014359387915175749,0.01459210008531845,0.5358334538694978,0.2425292092214925,0.27092710629740624,1.6115021101951887,0.8,0.25,-1.2358139872695026,-1.5472322151278641,-0.8214374690480035,7,1
25,0.0134457381679953,0.013622303573873,0.8610366896425392,0.31131487607278685,0.34546401187298614,1.5343825709318089,0.85,0.25,-1.1108936836580448,-1.4012118637057156,-0.7455107828851837,7,1
33,0.013751597220765601,0.0137336403331962,0.8233016359083165,0.3372422295372218,0.3758251002173726,1.4978107293777727,0.825,0.225,-0.9927059095354885,-1.3577865249197762,-0.5627138525347258,7,1
50,0.0132710830195785,0.013344430462356751,1.33370516917241,0.33526686426808083,0.3392944808861701,1.807499953211175,0.8,0.2,-1.6296379011293882,-2.4255825077692523,-0.9188539207173274,7,1
75,0.012798421102742149,0.01289057723668615,1.3917842500717823,0.32225290011453644,0.3179252787706359,1.7932811152938237,0.8,0.225,-1.167289086084975,-1.5215207390974494,-0.7642393922447317,7,1
100,0.0127300931651246,0.0128801012780896,1.5056997475598406,0.3215672178310229,0.31050616817061444,1.649026404990876,0.8,0.25,-1.1376502560202444,-1.426403423492217,-0.771890152312156,7,1
