t,obs_max_l1,lipschitz_l1,lognorm_l1,obs_max_l2,lipschitz_l2,lognorm_l2
0.0,1.000000000000082,1.0,1.0,0.0,0.0,0.0
0.1,1.1041913903628346,1.3568319313990747,1.1242649563488853,0.4211082701272092,1.235368627572875,1.1208110039726153
0.2,1.2235568151426666,1.8409928900641435,1.263971692074161,0.8254948947425523,2.911556228512404,2.3808995384292375
0.3,1.3593716776111089,2.4979179387176957,1.4210390792159833,1.2171664497615955,5.185861088482365,3.797572919615842
0.4,1.5131532333528297,3.3892548212667273,1.5976244383648177,1.5984289089414223,8.271710544225712,5.390289156676229
0.5,1.6866684780732777,4.598649165142959,1.7961531694601343,1.9706189466066089,12.458689621268737,7.180924207411087
0.6,1.8819250848439923,6.239594028567662,2.0193520646590097,2.3345116976661244,18.13971652910054,9.194072444562293
0.7,2.1011382999919532,8.466080416927594,2.270286760826893,2.690555583424434,25.84791524078408,11.457384459526931
0.8,2.3466616309986437,11.487048243479757,2.5524038460604994,3.03901050031648,36.30664538636554,14.001946843235059
0.9,2.6220968144233754,15.585993854274982,2.8695781985759345,3.380030106560663,50.49738440977651,16.862709160481693
1.0,2.9289990964519874,21.147574144070035,3.226166208161686,3.713710940556746,69.75183224689147,20.078963982205515
1.1,3.268772408268884,28.69370387030368,3.627065611193147,4.040121524780888,95.8768818937469,23.69488656895774
1.2,3.6420977297805672,38.93253364133723,4.077782761042606,4.359319282357388,131.3241834639864,27.76014161811367
1.3,4.047970558527045,52.82490481483508,4.584508257843804,4.671360020131584,179.42021411642008,32.33056540850007
1.4,4.482767828303773,71.6745176258849,5.154201976385867,4.976302904692975,244.67844427919044,37.46893271169471
1.5,4.939076407619826,97.25027418242648,5.7946886599947955,5.2742127457511225,333.2228947506279,43.2458190035254
1.6,5.404373500319162,131.95227734803137,6.5147653933844305,5.5651607130885274,453.3628324984582,49.7405698182429
1.7,5.859801974384388,179.03706332663572,7.324322430616574,5.849224182774832,616.3725362710109,57.04239055944814
1.8,6.290867377571441,242.9232044254975,8.234479037742304,6.126486137435991,837.5493074775145,65.25157173632664
1.9,6.658100935241898,329.60596064229986,9.257736215923163,6.397034374819268,1137.6490131342457,74.48086645381005
2.0,6.9215318517217685,447.2198921789394,10.40814840268435,6.660960671917573,1544.8338763727638,84.85703907649254
2.1,7.04527104500864,606.8022300652366,11.701516509616644,6.918359985476573,2097.3153007971505,96.52260633720117
2.2,7.0014158656568215,823.3286417966804,13.155604947899917,7.169329729039798,2846.939738961001,109.63779480434674
