direction,window_size,n_local_minima,frac_blowup,s_blowup_min
1,1,1,0.38154613466334164,0.48
1,2,1,0.4314214463840399,0.28
1,5,1,0.4613466334164589,0.16
1,10,1,0.47381546134663344,0.11
1,25,2,0.483790523690773,0.07
1,50,5,0.483790523690773,0.07
1,100,7,0.483790523690773,0.07
2,1,2,0.47381546134663344,1.03
2,2,6,0.57356608478803,0.76
2,5,9,0.5935162094763092,0.71
2,10,16,0.5885286783042394,0.71
2,25,17,0.5835411471321696,0.71
2,50,13,0.5660847880299251,0.81
2,100,18,0.5660847880299251,0.81
3,1,1,0.3965087281795511,0.42
3,2,1,0.44389027431421446,0.23
3,5,2,0.47132169576059846,0.12
3,10,2,0.48129675810473815,0.08
3,25,2,0.486284289276808,0.06
3,50,2,0.48129675810473815,0.08
3,100,3,0.483790523690773,0.06
4,1,1,0.541147132169576,0.42
4,2,1,0.6284289276807979,0.22
4,5,1,0.6658354114713216,0.11
4,10,1,0.6758104738154613,0.08
4,25,1,0.6758104738154613,0.08
4,50,2,0.6758104738154613,0.08
4,100,3,0.6758104738154613,0.08
5,1,2,0.26932668329177056,0.93
5,2,1,0.3665835411471322,0.53
5,5,2,0.40897755610972564,0.24
5,10,1,0.4488778054862843,0.14
5,25,2,0.4513715710723192,0.12
5,50,3,0.4413965087281796,0.14
5,100,3,0.42643391521197005,0.13
6,1,1,0.30673316708229426,1.16
6,2,1,0.5810473815461347,0.56
6,5,1,0.7157107231920199,0.27
6,10,1,0.743142144638404,0.16
6,25,2,0.7605985037406484,0.09
6,50,5,0.7605985037406484,0.09
6,100,7,0.7630922693266833,0.08
7,1,1,0.286783042394015,0.86
7,2,1,0.38902743142144636,0.45
7,5,2,0.44638403990024933,0.22
7,10,5,0.4513715710723192,0.2
7,25,12,0.47381546134663344,0.11
7,50,15,0.46384039900249374,0.15
7,100,19,0.46384039900249374,0.15
8,1,1,0.31421446384039897,0.75
8,2,1,0.4788029925187033,0.5
8,5,1,0.6633416458852868,0.33
8,10,1,0.7157107231920199,0.25
8,25,1,0.8753117206982544,0.19
8,50,1,0.9201995012468828,0.16
8,100,2,0.9226932668329177,0.16
9,1,1,0.7032418952618453,0.3
9,2,1,0.7780548628428927,0.16
9,5,1,0.8104738154613467,0.08
9,10,1,0.8154613466334164,0.06
9,25,1,0.8229426433915212,0.03
9,50,2,0.8204488778054863,0.04
9,100,2,0.8229426433915212,0.03
10,1,1,0.41645885286783046,1.0
10,2,1,0.6433915211970075,0.5
10,5,2,0.7506234413965087,0.27
10,10,3,0.7680798004987531,0.16
10,25,1,0.800498753117207,0.11
10,50,1,0.4788029925187033,0.09
10,100,4,0.4788029925187033,0.09
11,1,1,0.3665835411471322,0.54
11,2,1,0.4314214463840399,0.28
11,5,4,0.4663341645885287,0.14
11,10,3,0.44389027431421446,0.23
11,25,8,0.4788029925187033,0.09
11,50,22,0.4488778054862843,0.21
11,100,25,0.4488778054862843,0.21
12,1,2,0.4937655860349127,0.69
12,2,1,0.6309226932668329,0.39
12,5,1,0.6783042394014962,0.26
12,10,1,0.6783042394014962,0.26
12,25,2,0.6807980049875312,0.26
12,50,1,0.5860349127182045,0.64
12,100,2,0.5860349127182045,0.64
