start_index,direction,t,ratio
1,1,0.0,0.0
1,1,0.1,0.18030810209713505
1,1,0.2,0.3235938711904333
1,1,0.3,0.4391329679075084
1,1,0.4,0.5349015412934649
1,1,0.5,0.6174153001363223
1,1,0.6,0.6917555272926121
1,1,0.7,0.761702508224298
1,1,0.8,0.8299261834419662
1,1,0.9,0.89819926182323
1,1,1.0,0.9676067889399039
1,1,1.1,1.0387338041348975
1,1,1.2,1.1118208084227652
1,1,1.3,1.1868842189933355
1,1,1.4,1.263804392152174
1,1,1.5,1.3423866749599758
1,1,1.6,1.4224017309302959
1,1,1.7,1.5036108794906018
1,1,1.8,1.5857811176738137
1,1,1.9,1.6686933296953819
1,1,2.0,1.752146171682216
1,1,2.1,1.8359573220991925
1,1,2.2,1.9199632075749489
1,1,2.3,2.004017910329073
1,1,2.4,2.0879916928985023
1,1,2.5,2.1717693995245173
1,1,2.6,2.255248881384061
1,1,2.7,2.3383395231388997
1,1,2.8,2.4209609061024167
1,1,2.9,2.503041618611619
1,1,3.0,2.5845182104182824
1,1,3.1,2.6653342807966176
1,1,3.2,2.7454396869528983
1,1,3.3,2.824789858506935
1,1,3.4,2.9033452042729344
1,1,3.5,2.981070598659577
1,1,3.6,3.057934936367038
1,1,3.7,3.133910745474955
1,1,3.8,3.2089738503632192
1,1,3.9,3.283103077144357
1,1,4.0,3.356279995377072
1,1,4.1,3.4284886907827903
1,1,4.2,3.499715564504297
1,1,4.3,3.5699491551410882
1,1,4.4,3.6391799803843634
1,1,4.5,3.7074003955686923
1,1,4.6,3.774604466874858
1,1,4.7,3.840787857269954
1,1,4.8,3.9059477235588713
1,1,4.9,3.9700826231703217
1,1,5.0,4.033192429508547
1,1,5.1,4.095278254867319
1,1,5.2,4.1563423800576045
1,1,5.3,4.21638819001508
1,1,5.4,4.275420114761838
1,1,5.5,4.333443575180665
1,1,5.6,4.390464933136427
1,1,5.7,4.446491445540433
1,1,5.8,4.501531222007851
1,1,5.9,4.5555931858026915
1,1,6.0,4.608687037805319
1,1,6.1,4.66082322326922
1,1,6.2,4.712012901164933
1,1,6.3,4.762267915929018
1,1,6.4,4.811600771463802
1,1,6.5,4.860024607247642
1,1,6.6,4.907553176431655
1,1,6.7,4.954200825817214
1,1,6.8,4.999982477616266
1,1,6.9,5.044913612908422
1,1,7.0,5.089010256722199
1,1,7.1,5.132288964671399
1,1,7.2,5.174766811088593
1,1,7.3,5.216461378602643
1,1,7.4,5.257390749115227
1,1,7.5,5.297573496136789
1,1,7.6,5.337028678444329
1,1,7.7,5.375775835033532
1,1,7.8,5.413834981338166
1,1,7.9,5.451226606694788
1,1,8.0,5.487971673036413
1,1,8.1,5.524091614798175
1,1,8.2,5.559608340027459
1,1,8.3,5.594544232688835
1,1,8.4,5.628922156161503
1,1,8.5,5.662765457927629
1,1,8.6,5.696097975453879
1,1,8.7,5.7289440432718735
1,1,8.8,5.761328501266663
1,1,8.9,5.79327670418391
1,1,9.0,5.824814532374275
1,1,9.1,5.855968403787145
1,1,9.2,5.8867652872441605
1,1,9.3,5.917232717009706
1,1,9.4,5.947398808695068
1,1,9.5,5.977292276523018
1,1,9.6,6.006942451994152
1,1,9.7,6.0363793039981495
1,1,9.8,6.065633460409825
1,1,9.9,6.094736231227996
1,1,10.0,6.123719633311739
1,2,0.0,0.0
1,2,0.1,0.12743045339717535
1,2,0.2,0.23836650057495445
1,2,0.3,0.3396302754796779
1,2,0.4,0.4362483205216793
1,2,0.5,0.5315469326454769
1,2,0.6,0.627474639192572
1,2,0.7,0.7249913838243357
1,2,0.8,0.8244181377319156
1,2,0.9,0.9257026184995586
1,2,1.0,1.0285993765255872
1,2,1.1,1.1327814905659612
1,2,1.2,1.2379045265524335
1,2,1.3,1.3436399956160587
1,2,1.4,1.449690583507989
1,2,1.5,1.5557951248189044
1,2,1.6,1.6617281939397885
1,2,1.7,1.767297150297754
1,2,1.8,1.8723382169464478
1,2,1.9,1.9767124247063232
